8707041443C-3     28                 296     1890.       296    13.000     8.000
     816.9 27.80  3.89  1.50  45.0  0.00     815.2 27.63  2.94  1.92  58.8  0.08
     812.7 26.83  2.35  2.42  67.3  0.17     809.9 26.31  2.13  2.94  72.9  0.25
     806.7 26.06  1.92  3.49  76.7  0.33     803.6 25.59  1.93  4.05  79.5  0.42
     800.2 25.38  1.88  4.61  81.6  0.50     797.4 25.02  1.91  4.69  84.7  0.58
     794.7 24.71  1.39  4.77  87.7  0.65     791.6 24.35  1.60  4.87  90.6  0.73
     788.9 24.03  1.58  4.98  93.3  0.82     786.2 23.79  1.62  5.10  96.0  0.90
     783.7 23.57  1.49  5.23  98.5  0.98     780.7 23.33  0.81  5.02  96.8  1.07
     777.9 23.07 -0.03  4.82  94.9  1.15     774.6 22.78  0.35  4.63  92.9  1.23
     771.2 22.58  2.13  4.44  90.8  1.32     767.2 22.32  2.23  4.26  88.4  1.40
     764.0 21.89  1.70  4.09  85.9  1.48     760.4 21.55  1.67  3.95  85.0  1.57
     757.0 21.15  1.18  3.81  84.2  1.65     753.7 20.78  1.43  3.67  83.2  1.73
     750.8 20.39  1.04  3.54  82.2  1.82     748.6 20.07  1.02  3.40  81.1  1.90
     746.6 19.79  1.31  3.27  79.9  1.98     743.5 19.52  1.32  3.39  80.1  2.07
     740.2 19.16  1.33  3.51  80.2  2.15     737.9 18.90  1.33  3.62  80.4  2.22
     736.1 18.69  1.46  3.74  80.5  2.30     734.5 18.37  1.09  3.86  80.6  2.38
     732.4 18.04  1.33  3.98  80.7  2.47     730.1 17.77  1.35  4.05  80.4  2.55
     728.5 17.53  0.23  4.11  80.1  2.63     726.8 17.32  0.18  4.17  79.9  2.72
     725.1 17.07  1.47  4.24  79.6  2.80     724.0 16.88  1.81  4.30  79.3  2.88
     722.5 16.70  2.07  4.37  79.1  2.97     720.8 16.53  1.38  4.30  81.4  3.05
     719.3 16.35  1.83  4.25  83.9  3.13     717.8 16.22  1.26  4.20  86.4  3.22
     715.7 16.03  1.13  4.16  88.9  3.30     713.3 15.81  1.24  4.13  91.5  3.38
     710.9 15.48  0.65  4.10  94.2  3.47     708.7 15.28  0.39  4.01  97.0  3.55
     706.7 15.04  0.92  3.93 100.0  3.63     704.4 14.80  1.24  3.85 103.1  3.72
     702.5 14.50  1.89  3.79 106.3  3.80     700.6 14.28  1.79  3.74 109.6  3.88
     698.7 14.03  1.92  3.70 113.0  3.97     697.3 13.83  1.74  3.67 121.6  4.05
     695.5 13.62  1.83  3.73 130.2  4.13     694.0 13.41  1.29  3.86 138.3  4.22
     692.0 13.25  1.21  4.06 145.8  4.30     690.2 13.06  1.13  4.33 152.5  4.38
     688.2 12.84  1.12  4.65 158.3  4.45     686.0 12.60  0.93  4.41 157.7  4.53
     683.8 12.35  0.89  4.16 157.0  4.62     681.3 12.05  0.89  3.92 156.3  4.70
     679.1 11.76  0.83  3.67 155.4  4.78     676.9 11.53  0.80  3.43 154.4  4.87
     674.1 11.19  0.83  3.19 153.3  4.95     672.2 10.90  0.82  2.58 143.3  5.03
     670.0 10.65  0.81  2.09 128.0  5.12     668.1 10.40  0.69  1.83 106.1  5.20
     666.7 10.19  0.57  1.89  81.7  5.28     664.6  9.97  0.69  2.24  62.0  5.37
     663.3  9.80  0.45  2.78  48.7  5.45     661.9  9.63  0.40  2.62  53.3  5.53
     659.9  9.42  0.47  2.49  58.3  5.62     658.0  9.17  0.51  2.37  63.9  5.70
     656.5  8.97  0.30  2.28  70.0  5.78     655.1  8.77  0.29  2.22  76.5  5.87
     654.0  8.58  0.21  2.19  83.3  5.95     652.4  8.43  0.37  2.17  92.4  6.03
     651.1  8.23  0.40  2.22 101.5  6.12     649.6  8.04  0.50  2.31 110.0  6.20
     648.4  7.88  0.49  2.45 117.7  6.28     647.4  7.74  0.50  2.64 124.5  6.37
     646.0  7.59  0.45  2.85 130.3  6.45     644.3  7.40  0.16  2.78 132.4  6.53
     642.3  7.17  0.08  2.72 134.7  6.62     639.4  6.94 -0.05  2.66 137.1  6.70
     636.8  6.62  0.00  2.61 139.6  6.78     634.5  6.31 -0.25  2.56 142.1  6.87
     631.8  6.08 -0.42  2.52 144.8  6.95     629.3  5.77 -0.41  2.40 143.0  7.03
     626.6  5.44 -0.43  2.28 141.1  7.12     624.7  5.19 -0.48  2.17 138.9  7.20
     622.7  4.91 -1.25  2.07 136.5  7.28     620.8  4.59 -1.39  1.96 133.9  7.37
     619.0  4.36 -1.07  1.86 130.9  7.45     617.2  4.09 -3.10  1.86 126.9  7.53
     615.6  3.99 -2.92  1.86 122.9  7.62     614.0  3.75 -3.44  1.87 118.9  7.70
     612.5  3.57 -3.74  1.89 115.0  7.78     610.5  3.32 -3.82  1.92 111.2  7.87
     608.7  3.10 -2.42  1.96 107.5  7.95     606.3  2.84 -4.75  1.95 107.6  8.03
     604.3  2.65 -5.18  1.93 107.8  8.12     602.6  2.46 -5.20  1.92 108.0  8.20
     600.9  2.27 -5.77  1.90 108.1  8.30     599.2  2.13 -8.77  1.89 108.3  8.38
     597.2  2.01 -8.32  1.87 108.4  8.47     595.0  1.80 -9.54  1.83 109.5  8.55
     593.1  1.58 -8.93  1.78 110.6  8.63     590.4  1.34 -8.98  1.73 111.8  8.72
     588.1  1.06 -8.94  1.68 113.0  8.80     586.1  0.85 -9.54  1.64 114.3  8.88
     583.9  0.61 -9.54  1.59 115.7  8.97     582.0  0.33-10.10  1.62 122.1  9.05
     579.7  0.05-10.78  1.67 128.2  9.13     577.7 -0.19-10.52  1.74 133.9  9.22
     575.4 -0.49 -9.51  1.82 139.2  9.30     572.4 -0.87 -9.47  1.92 143.9  9.38
     569.8 -1.30 -8.88  2.03 148.1  9.47     566.2 -1.65 -9.78  2.31 152.1  9.55
     564.3 -1.94-10.15  2.59 155.2  9.63     561.8 -2.26 -9.94  2.88 157.7  9.72
     559.2 -2.66 -7.75  3.18 159.8  9.80     556.8 -3.04 -8.07  3.48 161.5  9.88
     554.3 -3.40 -9.23  3.78 162.9  9.97     552.2 -3.73 -9.00999.00 999.0 10.05
     549.5 -4.05 -9.15999.00 999.0 10.13     546.7 -3.42 -8.09999.00 999.0 10.22
     543.5 -4.79 -7.25999.00 999.0 10.30     541.0 -5.29 -7.21999.00 999.0 10.38
     538.0 -5.66 -7.63999.00 999.0 10.47     535.3 -5.88 -8.34999.00 999.0 10.57
     532.2 -6.39 -7.62999.00 999.0 10.65     529.1 -6.70 -6.70999.00 999.0 10.73
     525.6 -7.18 -7.18999.00 999.0 10.82     522.7 -7.50 -7.50999.00 999.0 10.90
     520.4 -7.98 -7.98999.00 999.0 10.98     517.5 -8.42 -8.42999.00 999.0 11.07
     515.4 -8.70 -8.70999.00 999.0 11.15     512.4 -8.93 -8.93999.00 999.0 11.23
     509.7 -9.04 -9.04999.00 999.0 11.32     507.0 -9.02 -9.02999.00 999.0 11.40
     503.0 -9.07 -9.07999.00 999.0 11.48     499.2 -9.43 -9.43999.00 999.0 11.57
     495.7 -9.68 -9.68999.00 999.0 11.65     491.2 -9.90 -9.90999.00 999.0 11.75
     488.3-10.13-10.13999.00 999.0 11.83     484.1-10.45-10.45999.00 999.0 11.92
     481.7-10.84-10.84999.00 999.0 12.00     479.4-11.97-11.97999.00 999.0 12.08
     477.8-12.60-12.60999.00 999.0 12.17     475.9-13.18-13.37999.00 999.0 12.25
     474.7-13.62-14.95999.00 999.0 12.33     473.3-13.92-16.30999.00 999.0 12.42
     472.0-14.22-17.41999.00 999.0 12.50     470.8-14.38-17.55999.00 999.0 12.58
     469.0-14.50-16.59999.00 999.0 12.68     467.4-14.59-15.78999.00 999.0 12.77
     465.7-14.84-16.48999.00 999.0 12.85     464.5-15.16-17.68999.00 999.0 12.93
     462.7-15.39-18.28999.00 999.0 13.02     461.5-15.51-18.53999.00 999.0 13.10
     459.8-15.75-18.84999.00 999.0 13.18     458.4-15.88-18.87999.00 999.0 13.27
     456.9-15.99-19.04999.00 999.0 13.35     455.5-16.22-19.46999.00 999.0 13.43
     453.9-16.37-19.73999.00 999.0 13.53     452.1-16.60-20.12999.00 999.0 13.62
     450.3-16.75-20.34999.00 999.0 13.70     448.9-16.94-20.50999.00 999.0 13.78
     447.5-17.12-20.81999.00 999.0 13.87     445.9-17.29-21.06999.00 999.0 13.95
     444.1-17.51-21.55999.00 999.0 14.03     442.0-17.78-22.61999.00 999.0 14.12
     440.5-18.05-23.34999.00 999.0 14.22     438.8-18.36-25.22999.00 999.0 14.30
     437.9-18.63-26.24999.00 999.0 14.38     437.1-18.84-26.93999.00 999.0 14.47
     435.8-19.03-27.31999.00 999.0 14.55     434.4-19.22-27.71999.00 999.0 14.63
     433.1-19.36-27.86999.00 999.0 14.72     431.8-19.50-27.95999.00 999.0 14.82
     430.7-19.67-28.27999.00 999.0 14.90     429.6-19.81-28.56999.00 999.0 14.98
     428.2-19.94-28.94999.00 999.0 15.07     426.7-20.13-29.43999.00 999.0 15.15
     425.4-20.33-30.47999.00 999.0 15.23     423.8-20.59-31.61999.00 999.0 15.32
     422.4-20.75-32.19999.00 999.0 15.42     421.1-20.93-32.62999.00 999.0 15.50
     419.3-21.17-33.08999.00 999.0 15.58     418.0-21.40-33.16999.00 999.0 15.67
     416.2-21.59-33.12999.00 999.0 15.75     414.0-21.83-32.84999.00 999.0 15.83
     412.4-21.90-32.24999.00 999.0 15.93     410.6-22.00-31.97999.00 999.0 16.02
     408.6-22.10-32.08999.00 999.0 16.10     407.0-22.21-31.98999.00 999.0 16.18
     405.5-22.39-32.04999.00 999.0 16.27     403.9-22.64-32.09999.00 999.0 16.35
     402.4-22.88-32.64999.00 999.0 16.43     401.0-23.19-33.28999.00 999.0 16.53
     399.6-23.50-34.07999.00 999.0 16.62     398.2-23.64-34.09999.00 999.0 16.70
     397.1-23.74-34.26999.00 999.0 16.78     395.9-23.89-34.07999.00 999.0 16.87
     394.4-24.01-33.97999.00 999.0 16.95     393.0-24.21-34.00999.00 999.0 17.05
     391.9-24.37-34.02999.00 999.0 17.13     390.5-24.46-33.98999.00 999.0 17.22
     389.2-24.66-34.11999.00 999.0 17.30     387.8-24.86-34.15999.00 999.0 17.38
     386.2-25.07-34.17999.00 999.0 17.47     385.0-25.26-34.39999.00 999.0 17.57
     383.5-25.45-34.74999.00 999.0 17.65     382.4-25.61-35.18999.00 999.0 17.73
     380.8-25.87-35.44999.00 999.0 17.82     379.2-26.21-35.67999.00 999.0 17.90
     378.3-26.28-35.76999.00 999.0 18.00     377.4-26.45-35.97999.00 999.0 18.08
     376.4-26.53-36.07999.00 999.0 18.17     375.1-26.69-36.21999.00 999.0 18.25
     374.1-26.91-36.46999.00 999.0 18.33     372.6-27.09-36.63999.00 999.0 18.42
     372.2-27.24-36.66999.00 999.0 18.52     371.4-27.42-36.68999.00 999.0 18.60
     370.4-27.63-36.83999.00 999.0 18.68     369.5-27.77-36.79999.00 999.0 18.77
     368.6-27.99-37.13999.00 999.0 18.85     368.1-28.08-37.31999.00 999.0 18.95
     367.0-28.19-37.46999.00 999.0 19.03     366.2-28.26-37.35999.00 999.0 19.12
     365.7-28.37-37.53999.00 999.0 19.20     364.9-28.51-37.63999.00 999.0 19.28
     364.1-28.70-37.76999.00 999.0 19.38     363.4-28.88-37.87999.00 999.0 19.47
     362.8-29.01-37.88999.00 999.0 19.55     361.7-29.10-37.71999.00 999.0 19.63
     361.2-29.22-37.66999.00 999.0 19.72     360.6-29.24-37.59999.00 999.0 19.82
     360.0-29.33-37.67999.00 999.0 19.90     359.3-29.46-37.81999.00 999.0 19.98
     358.6-29.57-37.87999.00 999.0 20.07     358.0-29.74-37.98999.00 999.0 20.15
     357.3-29.84-38.07999.00 999.0 20.25     356.8-29.98-39.05999.00 999.0 20.33
     356.0-30.10-39.79999.00 999.0 20.42     354.9-30.17-40.13999.00 999.0 20.50
     354.5-30.36-40.46999.00 999.0 20.60     353.6-30.43-40.63999.00 999.0 20.68
     353.4-30.55-40.82999.00 999.0 20.77     352.2-30.69-41.18999.00 999.0 20.85
     351.4-30.76-41.38999.00 999.0 20.93     350.7-30.91-41.63999.00 999.0 21.03
