  ILM8601240523.TEN
    720.43   0     -3.88   0     11.00   0      7.52   0     -3.80   0     2827.   34.2239  -77.9199    -30.05
    715.81   0     -4.23   0     11.00   0      6.88   0     -1.35   0     2877.   34.2237  -77.9191    -30.33
    711.34   0     -4.48   0     10.53   0      7.77   0     -2.21   0     2927.   34.2235  -77.9183    -30.99
    706.61   0     -4.79   0      9.82   0      7.51   1     -2.31   0     2979.   34.2233  -77.9175    -31.97
    701.85   0     -5.18   0      9.34   0      6.17   0     -0.38   0     3032.   34.2232  -77.9168    -32.79
    697.45   0     -5.55   0      8.55   0      7.43   0     -1.04   0     3081.   34.2231  -77.9160    -33.99
    693.07   0     -5.57   0      5.80   0      8.92   0     -2.26   0     3131.   34.2230  -77.9151    -37.91
    688.78   0     -5.16   0      2.92   1     10.24   0     -3.84   0     3180.   34.2227  -77.9141    -44.17
    684.44   0     -4.47   0      1.04   0     10.47   1     -5.53   1     3229.   34.2223  -77.9130    -52.91
    679.59   0     -4.71   0      1.38   0      9.89   1     -7.24   1     3285.   34.2217  -77.9119    -50.61
    675.00   0     -5.16   0      2.77   1     10.43   8     -7.89   8     3338.   34.2211  -77.9108    -44.69
    670.59   0     -5.64   0      4.53   1     10.97   8     -8.54   8     3390.   34.2203  -77.9096    -40.36
    666.15   0     -6.16   0      6.30   1     11.51   0     -9.19   0     3442.   34.2195  -77.9084    -37.53
    662.32   0     -6.59   0      7.75   1      9.00   0     -6.50   0     3487.   34.2188  -77.9073    -35.80
    658.62   0     -6.98   0      8.94   1      9.65   0     -6.56   0     3530.   34.2182  -77.9062    -34.66
    654.97   0     -7.35   0      9.56   1      9.07   0     -7.02   0     3574.   34.2176  -77.9052    -34.28
    650.89   0     -7.73   0      9.98   1      9.07   0     -5.47   0     3622.   34.2171  -77.9042    -34.14
    646.45   0     -8.13   0      9.50   2      8.42   0     -3.11   0     3675.   34.2167  -77.9033    -34.95
    641.84   1     -8.46   0      7.09   1      9.39   1     -3.37   1     3731.   34.2164  -77.9023    -38.13
    637.49   0     -8.73   0      5.00   0      8.73   1     -1.88   1     3784.   34.2161  -77.9013    -41.72
    633.52   1     -9.06   0      4.72   0     10.84   1     -2.10   1     3832.   34.2160  -77.9003    -42.50
    629.27   0     -9.35   0      3.93   0     11.40   1      0.35   1     3884.   34.2159  -77.8991    -44.43
    625.27   0     -9.61   0      3.17   0     12.90   1     -0.43   0     3933.   34.2159  -77.8978    -46.60
    620.87   1     -9.93   0      4.04   1     16.20   0     -2.08   0     3988.   34.2158  -77.8962    -44.62
    616.05   1    -10.36   0      6.03   0     15.68   1     -0.49   1     4048.   34.2156  -77.8944    -41.17
    611.59   0    -10.73   0      7.49   1     12.27   1      2.50   1     4103.   34.2157  -77.8929    -39.36
    606.92   0    -10.95   0      7.21   0     13.97   0      0.67   0     4162.   34.2159  -77.8915    -39.88
    602.26   0    -11.27   0      5.60   0     15.04   0      0.38   0     4221.   34.2159  -77.8899    -42.56
    597.97   0    -11.24   0      3.09   0     12.58   1      3.24   1     4276.   34.2161  -77.8884    -48.00
    594.31   0    -10.91   0      1.26   0     12.24   8      2.01   8     4323.   34.2163  -77.8871    -55.49
    590.87   0    -10.75   0      1.00   0     11.90   8      0.78   8     4368.   34.2165  -77.8857    -57.31
    587.13   0    -10.84   0      1.00   0     11.57   1     -0.46   1     4417.   34.2165  -77.8845    -57.37
    583.08   0    -11.15   0      1.00   0     10.00   1      1.10   1     4470.   34.2165  -77.8833    -57.58
    578.91   0    -11.45   0      1.00   0     13.31   1     -2.04   1     4525.   34.2165  -77.8820    -57.77
    574.86   0    -11.69   0      1.00   0     12.71   1     -0.27   1     4579.   34.2164  -77.8806    -57.93
    571.44   0    -11.94   0      1.00   0     14.97   1     -2.41   1     4624.   34.2162  -77.8791    -58.09
    568.50   0    -12.15   0      1.00   0     18.89   0     -5.78   0     4664.   34.2159  -77.8773    -58.23
