 #
 # Data Type:                         ULOWELL 10 SECOND DATA
 # Project ID:                        TDWR - ORL (UND)
 # Launch Site Type:                  FIXED
 # Site ID:                           LWL
 # Launch Location (lon,lat,alt(m)):  -46.41 16.23  25.
 # GMT Launch Time (m,d,y,h,m,s):     08/05/1991 19:46:00
 # Sonde Type/ID/Sensor ID/Tx Freq:   VAISALA RS80
 # Met Processor/Met Smoothing:       VAISALA PP-11, 10 SECONDS
 # Winds Type/Processor/Smoothing:    LORAN-C, NORTHSTAR 800, 20 SECONDS
 # Pre-launch Surface Obs Source:     SONDE SENSORS
 # Comments:
 # weather ovc-bkn skies with good ground signal and inital data......             
 # ....loran lost in flight from approx 500mb to 250mb....wind data                
 # will be lost for that layer.                                                    
 # Signal noisy from 400mb to the top.                                             
 #                                                                                 
 #
 # Time  Press  Temp  Dewpt  RH    Uwind  Vwind  Wspd  Dir   dZ       Lon       Lat    Rng    Ang    Alt    Qp   Qt   Qh   Qu   Qv
 #  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg       deg     km    deg     m     mb   C    %   m/s  m/s
 # ____ ______ _____ ______ ____  ______ ______ _____ _____ _____ _________ _________ _____ ______ ______ ____ ____ ____ ____ ____
  -41.0 1014.3  26.6  22.6  78.0   999.0  999.0 999.0 999.0  0.0  -46.40717  16.23326   0.0 999.0    25.0 77.0 77.0 77.0 77.0 77.0
   10.0 1009.0  26.2  21.6  74.8    38.4  -53.7 128.1 324.5  4.6  -81.19100  28.41804 999.0 291.7    70.9  1.4  0.1  1.2 59.3 99.0
   20.0 1003.1  26.2  20.7  70.9    22.6  -93.0 185.8 346.3  5.3  -81.18869  28.40967 999.0 291.7   123.4  2.1  1.7  1.8 19.9 84.5
   30.0  996.1  26.4  20.5  69.1     2.2   -0.4   4.3 280.6  6.2  -81.18845  28.40963 999.0 291.7   185.3  2.1  1.7  0.3  1.3  0.8
   40.0  989.2  26.7  21.0  69.9    -2.2   -0.4   4.3  79.4  6.2  -81.18869  28.40959 999.0 291.7   247.0  2.6  0.1  0.3  1.3  1.4
   50.0  976.1  26.1  20.4  70.1     1.5    2.7   5.9 208.7 99.0  -81.18853  28.40983 999.0 291.7 99999.0 14.3  0.2  0.3  0.9  0.9
   60.0  976.3  26.2  20.5  69.6     0.4   -0.6   1.4 329.3 99.0  -81.18850  28.40978 999.0 291.7 99999.0 22.1  1.2  1.5  0.7  0.9
   70.0  967.7  25.4  20.1  71.1     2.6   -2.9   7.5 318.3  6.5  -81.18824  28.40952 999.0 291.7   440.7  2.4  0.2  0.3  0.8  0.9
   80.0  952.2  25.1  19.7  71.7     1.8   -0.2   3.5 276.4 99.0  -81.18806  28.40950 999.0 291.7 99999.0 19.1  0.1  0.5  0.5  0.6
   90.0  952.3  24.7  18.7  69.0     2.1    0.6   4.3 253.8  7.1  -81.18784  28.40956 999.0 291.7   582.0  2.6  0.1  1.5  1.1  0.9
  100.0  944.8  24.5  16.8  61.4     1.5    3.3   7.0 204.9  7.0  -81.18768  28.40985 999.0 291.7   652.4  2.1  0.1  4.1  0.5  0.8
  110.0  937.7  24.5  15.3  55.3     1.1    3.9   7.9 195.2  6.6  -81.18758  28.41021 999.0 291.7   718.3  2.3  0.0  1.0  1.1  0.6
  120.0  929.9  24.2  15.3  56.7    -0.3    5.3  10.3 176.3  7.3  -81.18760  28.41068 999.0 291.7   791.8  2.7  0.2  0.5  1.2  0.6
