 #
 # Data Type:                         ULOWELL 10 SECOND DATA
 # Project ID:                        TDWR - ORL (UND)
 # Launch Site Type:                  FIXED
 # Site ID:                           LWL
 # Launch Location (lon,lat,alt(m)):  -46.41 16.23  25.
 # GMT Launch Time (m,d,y,h,m,s):     08/05/1991 19:46:00
 # Sonde Type/ID/Sensor ID/Tx Freq:   VAISALA RS80
 # Met Processor/Met Smoothing:       VAISALA PP-11, 10 SECONDS
 # Winds Type/Processor/Smoothing:    LORAN-C, NORTHSTAR 800, 20 SECONDS
 # Pre-launch Surface Obs Source:     SONDE SENSORS
 # Comments:
 # weather ovc-bkn skies with good ground signal and inital data......             
 # ....loran lost in flight from approx 500mb to 250mb....wind data                
 # will be lost for that layer.                                                    
 # Signal noisy from 400mb to the top.                                             
 #                                                                                 
 #
 # Time  Press  Temp  Dewpt  RH    Uwind  Vwind  Wspd  Dir   dZ       Lon       Lat    Rng    Ang    Alt    Qp   Qt   Qh   Qu   Qv
 #  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg       deg     km    deg     m     mb   C    %   m/s  m/s
 # ____ ______ _____ ______ ____  ______ ______ _____ _____ _____ _________ _________ _____ ______ ______ ____ ____ ____ ____ ____
  130.0  922.2  23.8  14.0  53.0     2.1    6.2  12.7 198.7  7.3  -81.18739  28.41124 999.0 291.7   864.8  2.5  0.1  2.4  1.0  0.9
  140.0  914.3  23.5  13.6  53.1     2.0    4.9  10.4 202.4  7.5  -81.18719  28.41169 999.0 291.7   939.5  2.3  0.2  1.0  0.7  0.9
  150.0  907.5  22.4  13.3  56.0     4.9    4.7  13.2 225.8  6.5  -81.18669  28.41211 999.0 291.7  1004.7  2.2  1.0  1.2  1.1  0.9
  160.0  900.8  22.3  15.2  63.0     3.6    1.0   7.4 254.2  6.5  -81.18631  28.41221 999.0 291.7  1069.4  2.2  0.2  2.9  1.0  0.9
  170.0  893.6  21.7  15.1  65.4     5.2    2.7  11.4 242.9  7.0  -81.18578  28.41245 999.0 291.7  1139.4  2.4  0.2  0.7  1.3  0.9
  180.0  886.2  21.2  14.2  64.0     7.3    3.3  15.5 245.6  7.2  -81.18503  28.41274 999.0 291.7  1211.3  2.4  0.1  0.9  0.8  0.8
  190.0  879.2  20.7  13.8  63.4     6.0    2.5  12.6 247.6  6.9  -81.18442  28.41296 999.0 291.7  1280.0  2.3  0.2  0.9  0.8  0.9
  200.0  872.1  20.4  13.0  62.0     6.0    2.1  12.2 250.9  7.0  -81.18381  28.41315 999.0 291.7  1350.5  2.2  0.1  0.8  0.8  0.6
  210.0  865.3  20.0  12.5  61.1     5.2    2.1  10.9 248.5  6.8  -81.18327  28.41333 999.0 291.7  1418.2  2.0  0.2  0.3  1.1  0.6
  220.0  858.3  19.5  11.8  60.1     3.8    2.1   8.4 241.5  7.0  -81.18289  28.41352 999.0 291.7  1488.1  2.2  0.2  0.3  0.8  0.6
  230.0  851.8  19.1  11.6  60.9     4.9    1.4   9.9 253.6  6.5  -81.18239  28.41365 999.0 291.7  1553.4  1.9  0.1  0.3  0.8  0.8
  240.0  845.4  18.6  11.5  62.6     2.4    2.1   6.1 228.9  6.5  -81.18215  28.41384 999.0 291.7  1618.6  2.1  0.2  0.7  0.8  0.6
  250.0  838.6  18.1  11.0  62.1     4.9    2.3  10.4 245.2  7.0  -81.18166  28.41404 999.0 291.7  1688.3  2.4  0.2  0.6  0.8  1.2
  260.0  831.3  17.6  10.1  61.0     5.6    2.9  12.3 242.9  7.4  -81.18107  28.41430 999.0 291.7  1762.6  2.3  0.1  1.4  0.8  0.9
  270.0  824.6  17.3  10.4  63.6     7.2    3.9  15.9 241.7  7.0  -81.18033  28.41465 999.0 291.7  1832.5  1.9  0.2  1.4  0.8  1.0
  280.0  818.0  16.7  11.0  68.3     7.1    2.9  14.8 247.9  6.8  -81.17960  28.41490 999.0 291.7  1900.6  2.2  0.2  1.7  1.5  0.9
  290.0  812.0  16.1  11.2  72.2     3.8    1.0   7.6 254.7  6.4  -81.17923  28.41500 999.0 291.7  1964.4  1.6  0.2  1.3  0.8  0.9
  300.0  806.0  15.7  11.1  73.4     5.2    0.6  10.2 263.3  6.2  -81.17868  28.41505 999.0 291.7  2026.8  2.1  0.1  1.3  0.7  0.9
  310.0  799.5  15.4  10.2  70.4     5.2   -0.6  10.2 276.7  6.9  -81.17814  28.41500 999.0 291.7  2095.9  2.0  0.1  1.0  0.7  0.9
  320.0  792.9  15.3   9.3  67.4     5.1    1.4  10.3 254.3  7.0  -81.17763  28.41512 999.0 291.7  2166.1  2.1  0.1  1.2  0.5  0.8
  330.0  786.4  15.1   9.3  68.1     4.4    1.0   8.7 256.7  7.1  -81.17719  28.41522 999.0 291.7  2236.6  2.1  0.1  0.6  0.8  0.9
  340.0  779.7  14.6   8.9  67.4     2.5    0.8   5.1 251.7  7.3  -81.17692  28.41529 999.0 291.7  2309.2  2.1  0.2  0.7  0.8  0.9
  350.0  773.6  14.0   8.8  70.4     4.0   -1.5   8.2 290.0  6.6  -81.17652  28.41516 999.0 291.7  2375.7  2.0  0.2  0.9  0.8  0.8
  360.0  767.2  13.4   8.8  72.9     4.9    0.0   9.5 270.0  7.0  -81.17602  28.41516 999.0 291.7  2446.0  2.0  0.2  0.3  0.1  0.0
  370.0  761.1  13.1   7.9  70.4     4.2    1.2   8.4 253.4  6.7  -81.17559  28.41528 999.0 291.7  2512.9  2.0  0.1  1.2  0.8  0.9
  380.0  755.2  12.8   7.8  71.0     4.5    0.6   8.8 262.2  6.5  -81.17513  28.41533 999.0 291.7  2578.1  1.9  0.1  1.1  0.7  0.9
  390.0  748.9  12.5   6.9  68.1     4.7    0.6   9.1 262.5  7.0  -81.17465  28.41539 999.0 291.7  2648.6  1.9  0.1  0.6  0.9  0.9
  400.0  743.2  12.3   6.1  65.7     4.4   -2.5   9.8 299.5  6.4  -81.17421  28.41516 999.0 291.7  2712.6  1.7  0.1  2.1  0.8  0.9
  410.0  737.7  12.0   5.2  63.3     4.5    0.0   8.8 270.0  6.3  -81.17374  28.41516 999.0 291.7  2775.9  1.9  0.1  1.2  0.7  0.0
  420.0  732.2  11.7   3.8  57.7     4.9    0.0   9.5 270.0  6.2  -81.17323  28.41516 999.0 291.7  2838.0  1.7  0.1  2.7  0.8  0.0
  430.0  726.7  11.5   1.8  51.0     5.3    0.0  10.2 270.0  6.3  -81.17270  28.41516 999.0 291.7  2901.0  2.0  0.1  2.0  0.7  0.0
  440.0  720.6  11.0   3.9  61.0     3.8   -1.8   8.2 295.9  7.0  -81.17232  28.41500 999.0 291.7  2971.5  1.8  0.2  3.5  1.1  0.0
  450.0  714.9  10.5   4.2  64.7     2.0   -1.9   5.3 312.9  6.7  -81.17211  28.41483 999.0 291.7  3038.3  1.8  0.2  1.8  0.7  0.0
  460.0  709.1  10.1   4.4  66.6     2.9    0.4   5.7 261.9  6.7  -81.17181  28.41487 999.0 291.7  3105.6  2.2  0.1  0.5  1.0  0.8
  470.0  702.8   9.8   3.6  65.4     3.0    1.5   6.5 244.5  7.5  -81.17150  28.41500 999.0 291.7  3180.7  2.1  0.1  1.0  1.4  0.8
  480.0  696.6   9.4   3.5  66.1     2.2   -0.4   4.3 280.7  7.4  -81.17127  28.41496 999.0 291.7  3254.2  1.9  0.1  0.6  0.8  0.8
  490.0  690.7   9.0   2.6  64.4     1.6   -1.5   4.3 311.5  7.0  -81.17111  28.41483 999.0 291.7  3324.5  1.9  0.2  0.7  0.0  0.8
  500.0  685.0   8.4   2.2  64.9     3.3    0.0   6.3 270.0  6.8  -81.17078  28.41483 999.0 291.7  3393.0  1.7  0.2  0.3  0.0  0.0
  510.0  679.6   7.9   1.9  65.3     0.9   -1.8   4.0 334.3  6.5  -81.17068  28.41467 999.0 291.7  3458.3  1.9  0.2  1.0  0.8  1.2
  520.0  673.9   7.3   1.8  67.7     2.9   -2.0   6.9 305.1  7.0  -81.17039  28.41448 999.0 291.7  3528.5  1.9  0.2  0.7  0.7  1.0
  530.0  668.1   6.7   1.3  68.1     3.2   -2.5   7.9 307.4  7.2  -81.17006  28.41426 999.0 291.7  3600.1  1.9  0.2  2.2  0.8  0.9
  540.0  662.4   6.3   0.9  67.9     2.6   -1.7   6.0 302.6  7.0  -81.16980  28.41411 999.0 291.7  3669.8  1.8  0.1  2.9  0.8  0.6
  550.0  656.7   5.8   1.2  71.9     2.1   -2.5   6.3 319.1  7.1  -81.16958  28.41389 999.0 291.7  3740.8  1.8  0.2  0.6  0.8  0.9
  560.0  651.0   5.4   0.4  70.4     2.4   -2.5   6.7 316.2  7.1  -81.16933  28.41367 999.0 291.7  3812.0  2.0  0.1  1.6  0.8  0.9
  570.0  645.6   4.8   0.8  75.5     1.1   -1.8   4.2 329.4  6.8  -81.16922  28.41350 999.0 291.7  3880.1  1.7  0.2  1.7  0.8  1.2
  580.0  640.4   4.4   0.2  73.6     2.0    0.0   3.9 270.0  6.7  -81.16902  28.41350 999.0 291.7  3947.1  1.7  0.2  2.2  0.7  0.0
  590.0  634.7   3.9  -1.1  69.6     1.8   -0.4   3.6 282.8  7.2  -81.16883  28.41346 999.0 291.7  4019.4  1.7  0.1  0.7  0.5  0.8
  600.0  629.3   3.3  -1.1  72.7     1.0   -2.3   4.8 335.3  7.0  -81.16873  28.41326 999.0 291.7  4089.4  1.7  0.2  1.5  0.7  0.8
  610.0  624.0   2.7  -1.1  75.4     0.5   -1.0   2.2 333.0  6.8  -81.16867  28.41317 999.0 291.7  4157.9  1.7  0.2  1.2  0.7  0.9
  620.0  618.7   2.4  -0.4  81.4     0.0   -1.9   3.6 360.0  6.9  -81.16867  28.41300 999.0 291.7  4226.8  1.6  0.1  1.6  0.0  0.0
  630.0  613.4   2.4  -0.2  82.6     1.0    1.0   2.7 222.6  6.9  -81.16858  28.41309 999.0 291.7  4296.0  1.8  0.1  1.2  0.9  0.9
  640.0  607.7   2.7  -0.9  76.6    -0.8    2.7   5.4 164.1  7.5  -81.16866  28.41333 999.0 291.7  4371.4  1.9  0.1  3.2  1.2  0.9
  650.0  602.2   2.7  -1.3  74.3    -2.1    0.0   4.1  90.0  7.5  -81.16887  28.41333 999.0 291.7  4446.1  1.7  0.1  0.7  1.1  0.0
  660.0  596.7   2.2  -1.4  76.4    -5.1   -0.8  10.0  80.8  7.4  -81.16940  28.41326 999.0 291.7  4520.0  1.8  0.2  0.9  0.9  0.9
  670.0  591.4   1.7  -2.1  75.7    -4.2   -1.0   8.3  76.2  7.3  -81.16982  28.41317 999.0 291.7  4592.7  1.6  0.1  1.2  0.8  0.9
  680.0  586.4   1.4  -2.6  74.1    -4.0   -0.2   7.7  87.0  6.7  -81.17023  28.41315 999.0 291.7  4660.1  1.6  0.2  0.6  0.8  0.6
  690.0  581.4   1.0  -3.6  71.1    -2.6    0.0   5.0  90.0  7.0  -81.17049  28.41315 999.0 291.7  4729.9  1.8  0.1  0.8  0.8  0.9
  700.0  576.4   0.7  -4.1  69.9    -2.7    0.2   5.2  94.4  6.9  -81.17076  28.41317 999.0 291.7  4799.2  1.3  0.1  0.8  0.7  0.6
  710.0  572.0   0.3  -5.2  66.3    -2.0    0.2   3.8  95.9  6.1  -81.17096  28.41319 999.0 291.7  4860.4  1.3  0.1  0.7  0.7  0.6
  720.0  566.9  -0.2  -6.2  63.4    -2.7    1.6   6.2 120.9  7.2  -81.17123  28.41333 999.0 291.7  4932.6  1.8  0.2  3.0  0.8  0.6
  730.0  562.9  -0.8  -6.9  63.0    -3.2    3.1   8.7 133.7  5.7  -81.17156  28.41361 999.0 291.7  4989.6  1.2  0.2  3.9  0.0  1.5
  740.0  550.3  -1.1  -7.8  59.9    -0.9    3.7   7.4 166.8 99.0  -81.17166  28.41395 999.0 291.7 99999.0 20.6  0.1  3.7  0.8  1.2
  750.0  554.8  -1.4  -8.9  56.4    -0.9    3.7   7.4 165.8  5.8  -81.17175  28.41428 999.0 291.7  5104.7  1.4  0.1  1.2  1.1  0.0
  760.0  550.5  -1.6 -10.1  52.3    -4.0    4.3  11.4 137.1  6.3  -81.17217  28.41466 999.0 291.7  5167.3  1.4  0.1  2.9  0.8  0.9
  770.0    1.0  93.3 999.0  -1.0    -2.9    7.4  15.4 158.5 99.0  -81.17245  28.41533 999.0 291.7 99999.0 99.0 99.0 99.0  0.7  1.2
  780.0  543.3  -7.7 -13.4  63.3    -0.7    7.6  14.8 174.7  5.2  -81.17253  28.41602 999.0 291.7  5270.6  1.4 12.5 17.5  0.8  1.4
  790.0  565.6  -0.3  -8.3  54.9    -1.2    4.7   9.5 165.6 99.0  -81.17266  28.41645 999.0 291.7 99999.0 62.3  7.1 11.9  0.7  0.9
  800.0  563.0  -0.6  -7.1  61.1    -0.4    6.2  12.0 176.5 99.0  -81.17270  28.41700 999.0 291.7 99999.0 63.4  7.2 14.5  0.7  0.9
  810.0  534.1  -4.0  -8.8  69.0    -2.6    6.4  13.3 158.2  4.5  -81.17296  28.41757 999.0 291.7  5405.4  0.9  0.1  3.6  0.8  0.9
  820.0  531.3  -4.3  -8.3  73.2    -1.9    4.9  10.3 159.3  4.1  -81.17314  28.41802 999.0 291.7  5446.9  1.0  0.2  0.4  0.5  1.2
  830.0  527.5  -4.4  -7.7  77.7    -2.5    3.5   8.3 144.6  5.6  -81.17342  28.41833 999.0 291.7  5502.7  1.4  0.1  3.1  0.8  0.6
  840.0  524.3  -4.2  -7.2  79.3    -2.2    2.7   6.7 140.7  4.8  -81.17364  28.41858 999.0 291.7  5551.2  1.2  0.1  0.7  1.3  0.9
  850.0  520.4  -4.5  -7.5  79.0    -1.1    0.2   2.2 100.7  5.9  -81.17374  28.41859 999.0 291.7  5610.3  1.0  0.1  0.0  1.3  1.9
  860.0  499.3  -5.7  -8.3  81.7    -2.5   -1.2   5.4  63.4 99.0  -81.17400  28.41848 999.0 291.7 99999.0 42.5  2.0  4.2  0.8  0.9
  870.0  513.1  -5.1  -8.1  78.9    -2.2   -4.5   9.8  26.3  5.6  -81.17422  28.41807 999.0 291.7  5721.4  1.3  0.0  0.6  0.7  1.8
  880.0  509.4  -5.3  -8.5  77.9    -1.4   -6.4  12.7  12.6  5.7  -81.17436  28.41750 999.0 291.7  5778.8  1.1  0.1  0.3  1.2  0.9
  890.0  495.8  -7.6 -10.2  81.7  -114.3   24.1 226.5 101.9 99.0  -81.18606  28.41966 999.0 291.7 99999.0 24.9  4.7  9.9 99.0 99.0
  900.0  503.2  -5.9  -8.9  78.7  -368.5  -80.3 731.6  77.7  4.8  -81.22374  28.41245 999.0 291.7  5874.1  0.9  0.1  0.5 99.0 99.0
  910.0  500.6  -6.1  -9.2  78.4   -13.9  -17.5  43.4  38.5  4.1  -81.22516  28.41087 999.0 291.7  5915.4  1.0  0.1  0.9  7.6  8.3
  920.0  497.5  -6.3  -9.7  76.0     0.7   -2.5   5.0 344.3  4.9  -81.22510  28.41064 999.0 291.7  5964.3  0.9  0.1  0.5  2.0  1.8
  930.0  494.6  -6.4  -9.8  76.1    78.0  -73.7 208.2 313.4  4.5  -81.21711  28.40402 999.0 291.7  6009.2  0.9  0.1  0.8 99.0 84.6
  940.0  492.1  -6.4 -10.4  73.0   999.0  999.0 999.0 272.8  4.0  -65.57278  27.72289 999.0 304.1  6049.3  1.0  0.1  2.1 99.0 99.0
  950.0  464.2 -11.3 -14.5  76.6   999.0  999.0 999.0 121.4 99.0  -72.24239  31.88309 999.0 305.5 99999.0 59.9 11.8 24.7 99.0 99.0
  960.0  486.2  -6.7 -12.1  65.9   999.0  999.0 999.0  83.6  4.7  -81.58340  30.99646 999.0 296.1  6143.2  1.0  0.2  0.8 99.0 99.0
  970.0  483.6  -7.4 -13.1  63.6   999.0  999.0 999.0  98.5  4.2  -98.08295  33.11522 999.0 291.3  6184.8  0.9  0.2  1.0 99.0 99.0
  980.0  481.1  -7.8 -13.2  65.1   999.0  999.0 999.0 292.0  4.1    0.00000   0.00000 999.0 109.3  6225.5  0.7  0.1  2.0 24.3 91.7
  990.0  479.7  -7.9 -13.2  64.7     0.0    0.0   0.0 180.0  2.3    0.00000   0.00000 999.0 109.3  6248.4  0.3  0.2  0.7  0.0  0.0
 1000.0  469.6  -8.0 -13.0  67.1     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 21.7  0.0  1.6  0.0  0.0
 1010.0  477.2  -8.1 -13.3  66.6     0.0    0.0   0.0 180.0  2.0    0.00000   0.00000 999.0 109.3  6288.8  0.4  0.1  1.2  0.0  0.0
 1020.0  475.2  -8.5 -13.6  66.1     0.0    0.0   0.0 180.0  3.3    0.00000   0.00000 999.0 109.3  6321.7  0.9  0.1  1.1  0.0  0.0
 1030.0  472.8  -8.8 -13.8  67.5     0.0    0.0   0.0 180.0  4.0    0.00000   0.00000 999.0 109.3  6361.4  0.5  0.1  0.9  0.0  0.0
 1040.0  470.3  -9.2 -14.2  67.1     0.0    0.0   0.0 180.0  4.1    0.00000   0.00000 999.0 109.3  6402.0  1.1  0.2  0.6  0.0  0.0
 1050.0  467.4 -10.6 -15.0  69.7     0.0    0.0   0.0 180.0  4.8    0.00000   0.00000 999.0 109.3  6450.0  1.1  2.4  1.3  0.0  0.0
 1060.0  465.2  -9.9 -13.7  73.0     0.0    0.0   0.0 180.0  3.7    0.00000   0.00000 999.0 109.3  6486.9  0.7  0.1  1.7  0.0  0.0
 1070.0  463.2  -9.8 -13.4  74.4     0.0    0.0   0.0 180.0  3.2    0.00000   0.00000 999.0 109.3  6518.8  0.9  0.1  0.5  0.0  0.0
 1080.0  461.4 -10.0 -13.6  74.6     0.0    0.0   0.0 180.0  3.1    0.00000   0.00000 999.0 109.3  6550.0  0.7  0.0  0.5  0.0  0.0
 1090.0  460.0 -10.0 -13.4  75.8     0.0    0.0   0.0 180.0  2.3    0.00000   0.00000 999.0 109.3  6573.3  0.4  0.1  0.9  0.0  0.0
 1100.0  457.8 -10.2 -13.8  75.0     0.0    0.0   0.0 180.0  3.6    0.00000   0.00000 999.0 109.3  6609.8  0.9  0.1  0.0  0.0  0.0
 1110.0  456.1 -10.4 -12.8  82.3     0.0    0.0   0.0 180.0  3.0    0.00000   0.00000 999.0 109.3  6639.4  0.7  0.1 17.4  0.0  0.0
 1120.0  454.2 -10.5 -13.9  76.0     0.0    0.0   0.0 180.0  3.1    0.00000   0.00000 999.0 109.3  6670.1  0.6  0.1  0.8  0.0  0.0
 1130.0  451.7 -10.9 -14.1  76.7     0.0    0.0   0.0 180.0  4.2    0.00000   0.00000 999.0 109.3  6712.6  1.0  0.1  0.5  0.0  0.0
 1140.0  449.2 -11.2 -14.5  77.0     0.0    0.0   0.0 180.0  4.3    0.00000   0.00000 999.0 109.3  6755.6  1.0  0.2  0.0  0.0  0.0
 1150.0  447.1 -11.5 -14.7  77.1     0.0    0.0   0.0 180.0  3.7    0.00000   0.00000 999.0 109.3  6792.3  1.0  0.1  0.6  0.0  0.0
 1160.0  397.3 -19.6 -20.9  89.4     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 99.0 16.4 28.4  0.0  0.0
 1170.0  441.4 -12.0 -15.0  78.1     0.0    0.0   0.0 180.0  4.9    0.00000   0.00000 999.0 109.3  6889.9  0.7  0.1  1.1  0.0  0.0
 1180.0  444.7 -11.8 -15.0  76.6     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 12.6  1.8  4.0  0.0  0.0
 1190.0  437.8 -12.9 -15.8  78.9     0.0    0.0   0.0 180.0  3.1    0.00000   0.00000 999.0 109.3  6952.5  0.9  0.1  0.6  0.0  0.0
 1200.0  441.3 -12.0 -14.8  78.7     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 16.1  2.4  4.8  0.0  0.0
 1210.0  431.4 -13.0 -15.9  79.6     0.0    0.0   0.0 180.0  5.7    0.00000   0.00000 999.0 109.3  7066.2  1.0  0.1  0.5  0.0  0.0
 1220.0  427.8 -14.4 -17.3  79.4     0.0    0.0   0.0 180.0  6.4    0.00000   0.00000 999.0 109.3  7129.9  1.2  2.2  0.5  0.0  0.0
 1230.0  424.1 -14.0 -16.7  80.9     0.0    0.0   0.0 180.0  6.5    0.00000   0.00000 999.0 109.3  7194.9  1.4  0.1  0.6  0.0  0.0
 1240.0  420.3 -14.5 -16.9  81.3     0.0    0.0   0.0 180.0  6.8    0.00000   0.00000 999.0 109.3  7263.2  1.2  0.1  0.5  0.0  0.0
 1250.0  416.8 -15.0 -17.4  82.1     0.0    0.0   0.0 180.0  6.4    0.00000   0.00000 999.0 109.3  7327.1  0.9  0.1  0.3  0.0  0.0
 1260.0  413.5 -15.4 -17.6  82.3     0.0    0.0   0.0 180.0  6.0    0.00000   0.00000 999.0 109.3  7386.8  1.3  0.1  0.5  0.0  0.0
 1270.0  346.7 -24.1 -24.8  93.3     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 99.0 20.3 27.6  0.0  0.0
 1280.0  409.5 -15.9 -18.5  80.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0  7.5  1.3  3.7  0.0  0.0
 1290.0  403.3 -16.8 -19.3  81.3     0.0    0.0   0.0 180.0  6.3    0.00000   0.00000 999.0 109.3  7574.7  1.1  0.1  0.5  0.0  0.0
 1300.0  371.3 -22.9 -23.6  93.5     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 63.4 12.9 25.7  0.0  0.0
 1310.0  371.4 -22.5 -23.4  92.1     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 57.9 11.9 24.0  0.0  0.0
 1320.0  353.9 -20.5 -22.7  82.3     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 86.1  5.8  1.2  0.0  0.0
 1330.0  342.8 -21.2 -23.5  82.4     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 90.7  6.1  1.4  0.0  0.0
 1340.0  384.5 -18.5 -21.0  80.6     0.0    0.0   0.0 180.0  7.2    0.00000   0.00000 999.0 109.3  7932.6  1.2  0.2  0.7  0.0  0.0
 1350.0  379.9 -19.2 -20.4  89.0     0.0    0.0   0.0 180.0  9.0    0.00000   0.00000 999.0 109.3  8022.1  1.5  0.2 16.2  0.0  0.0
 1360.0  338.1 -24.3 -25.6  89.3     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 96.1 11.9 24.4  0.0  0.0
 1370.0  368.0 -19.7 -22.5  78.7     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 16.4  0.1  0.5  0.0  0.0
 1380.0  370.9 -20.2 -23.0  78.0     0.0    0.0   0.0 180.0  6.0    0.00000   0.00000 999.0 109.3  8201.8  1.2  0.2  0.0  0.0  0.0
 1390.0  351.8 -23.1 -25.2  83.6     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 38.7  6.2 14.5  0.0  0.0
 1400.0  364.5 -20.9 -23.8  77.3     0.0    0.0   0.0 180.0  6.4    0.00000   0.00000 999.0 109.3  8329.0  1.1  0.1  0.5  0.0  0.0
 1410.0  361.9 -21.3 -24.1  78.0     0.0    0.0   0.0 180.0  5.5    0.00000   0.00000 999.0 109.3  8383.6  1.6  0.3  0.0  0.0  0.0
 1420.0  328.5 -23.6 -25.7  83.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 39.8  2.8  5.7  0.0  0.0
 1430.0  999.0 999.0 899.1 999.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 99.0 99.0 99.0  0.0  0.0
 1440.0  999.0 999.0 899.1 999.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 99.0 99.0 99.0  0.0  0.0
 1450.0  999.0 999.0 899.1 999.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 99.0 99.0 99.0  0.0  0.0
 1460.0  308.2 -25.7 -27.8  83.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 35.8  1.9  8.0  0.0  0.0
