00BZ110546699001762397N12162E8705131800                 
 00803  1785010-756           235080                    
 00782  1800010-764           234080                    
 00762  1815010-773           234070                    
 00743  1830010-774           235060                    
 00742  1830402-774           235060                    
 00723  1845010-760           238050                    
 00705  1860010-761           242050                    
 00700  1864010-761           243040                    
 00687  1875010-754           248040                    
 00669  1890010-732           268030                    
 00653  1905010-691           345030                    
 00644  1913302-677           027030                    
 00636  1920010-675           062030                    
 00621  1935010-677           071030                    
 00606  1950010-671           071040                    
 00591  1965010-664           059030                    
 00576  1980010-656           038020                    
 00562  1995010-656           030020                    
 00548  2010010-659           051030                    
 00535  2025010-652           072050                    
 00522  2040010-641           091060                    
 00510  2055010-635           110060                    
 00500  2066610-628           113060                    
 00497  2070010-627           113070                    
 00485  2085010-624           109070                    
 00474  2100010-620           105080                    
 00462  2115010-611           099100                    
 00451  2130010-607           094120                    
 00441  2145010-600           097100                    
 00436  2151902-592           098100                    
 00430  2160010-594           099090                    
 00420  2175010-595           102100                    
 00410  2190010-595           105100                    
 00400  2205010-597           096110                    
 00400  2205310-597           096120                    
 00391  2220010-590           087130                    
 00382  2235010-583           089140                    
 00373  2250010-569           099140                    
 00364  2265010-563           107150                    
 00355  2280010-557           108150                    
 00347  2295010-544           109150                    
 00339  2310010-538           105150                    
 00331  2325010-536           098140                    
 00324  2340010-533           093130                    
 00316  2355010-531           096110                    
 00309  2370010-535           099090                    
 00302  2385010-537           092080                    
 00300  2388810-535           089080                    
 00295  2400010-530           078080                    
 00288  2415010-516           065080                    
 00281  2430010-515           051080                    
 00275  2445010-518           038080                    
 00269  2460010-517           034080                    
 00263  2475010-515           033080                    
 00257  2490010-510           036070                    
 00251  2505010-504           051060                    
 00245  2520010-499           065050                    
 00240  2535010-493           072050                    
 00234  2550010-486           073040                    
 00229  2565010-480           076040                    
 00224  2580010-482           100050                    
 00219  2595010-483           124050                    
 00200  2653910-469                                     
 00189222691602-473                                     
 00190222691620-473                                     
