00BZ110546699001762397N12162E8705131800                 
 10103  00018010234  075+187  050030                    
 10066  00050100232  0760187  047040                    
 10009  00100100229  0770187  043050                    
 10000  00108100227  078+186  042060                    
 09951  00150100219  0790182  038070                    
 09894  00200100214  0820181  034090                    
 09838  00250100209  0830179  037090                    
 09781  00300100205  0840177  039080                    
 09725  00350100201  0860177  042080                    
 09669  00400100197  0870175  045080                    
 09613  00450100194  0880174  047080                    
 09557  00500100191  0890173  050070                    
 09502  00550100189  0890171  052070                    
 09447  00600100187  0890169  048060                    
 09392  00650100185  0890167  045050                    
 09338  00700100187  0900171  041040                    
 09284  00750100189  0930178  038030                    
 09230  00800100189  0940179  034030                    
 09177  00850100187  0940178  031020                    
 09124  00900100186  0940177  029010                    
 09071  00950100185  0940176  027010                    
 09018  01000100184  0940175  026010                    
 09000  01017100184  094+174  026010                    
 08966  01050100183  0940174  025010                    
 08914  01100100182  0940173  024010                    
 08862  01150100182  0980178  022010                    
 08830  01182020181  100+181  022010                    
 08811  01200100180  1000180  021010                    
 08760  01250100178  1000177  020010                    
 08709  01300100175  0950167  019010                    
 08658  01350100172  0980170  018010                    
 08608  01400100170  0940160  017010                    
 08558  01450100166  0940156  016010                    
 08508  01500100162  0940152  016020                    
 08500  01508100161  094+151  015020                    
 08458  01550100158  0940149  015020                    
 08409  01600100155  0940145  360020                    
 08359  01650100153  0930142  345030                    
 08310  01700100150  0930139  331040                    
 08262  01750100148  0950140  316040                    
 08213  01800100146  0960140  302050                    
 08165  01850100143  0970139  287060                    
 08117  01900100141  0970136  277060                    
 08069  01950100138  0970134  276060                    
 08049  01971020137  097+132  275060                    
 08021  02000100136  0950129  274070                    
 08000  02022100135  094+126  274070                    
 07974  02050100133  0930123  273070                    
 07927  02100100129  0930117  271070                    
 07880  02150100124  0840097  270070                    
 07862  02169020117  075+074  269070                    
 07833  02200100119  0700066  268070                    
 07787  02250100120  0630051  265070                    
 07740  02300100120  0610046  262070                    
 07694  02350100119  0590042  259070                    
 07648  02400100119  0570037  256060                    
 07635  02415020119  056+035  255060                    
 07603  02450100118  0800084  253060                    
 07582  02473020117  095+110  252060                    
 07558  02500100115  0750071  250060                    
 07539  02521020113  059+036  249060                    
 07513  02550100111  0590035  250060                    
 07468  02600100109  0580030  251070                    
 07423  02650100107  0570026  253070                    
 07379  02700100105  0560021  254070                    
 07335  02750100103  0550016  256080                    
 07291  02800100100  0550013  257080                    
 07247  02850100097  0550012  259090                    
 07203  02900100095  0540007  257090                    
 07160  02950100094  0550007  255090                    
 07117  03000100091  051-004  253090                    
 07000  03137100087  051-009  247090                    
 06995  03143020087  051-009  246090                    
 06989  03150100087  050-010  246090                    
 06864  03300100085  037-053  249110                    
 06814  03360020084  032-073  250120                    
 06740  03450100080  030-085  253130                    
 06618  03600100073  030-091  259140                    
 06499  03750100066  028-107  265150                    
 06381  03900100059  023-137  267170                    
 06264  04050100050  024-138  269190                    
 06150  04200100044  024-144  277190                    
 06038  04350100031  028-137  286180                    
 06000  04400100026  031-127  289180                    
 05926  04500100021  035-116  291160                    
 05817  04650100009  025-167  292140                    
 05728  04773020002  019-206  293120                    
 05709  04800100001  040-119  294120                    
 05690  04828020000  061-066  294120                    
 05690  04828190000  061-066  294120                    
 05603  0495010-007  061-072  294120                    
 05499  0510010-011  061-077  295130                    
 05396  0525010-020  061-086  295130                    
 05334  0534202-028  060-094  293130                    
 05295  0540010-033  036-161  292130                    
 05252  0546502-039  009-321  290120                    
 05196  0555010-045  009-325  289120                    
 05105  0568802-056  033-194  287120                    
 05097  0570010-057  033-195  287120                    
 05000  0585010-066  024-237  286120                    
 05000  0585110-066  024-240  286120                    
 04905  0600010-077  010-343  286120                    
 04811  0615010-087  005-416  284120                    
 04798  0617102-090  005-418  284120                    
 04719  0630010-102  045-198  283120                    
 04715  0630602-102  048-191  283120                    
 04627  0645010-114  050-198  281120                    
 04607  0648302-115  050-199  280120                    
 04597  0650002-116  016-322  280120                    
 04538  0660010-124  020-309  278120                    
 04525  0662102-125  020-310  278120                    
 04461  0673002-135  064-189  277120                    
 04449  0675010-134  062-191  277120                    
 04396  0684202-133  005-449  276130                    
 04362  0690010-135  044-230  275130                    
 04343  0693402-136  068-183  274130                    
 04277  0705010-138  014-352  273140                    
 04266  0707002-138  005-453  273140                    
 04193  0720010-148  005-460  271140                    
 04111  0735010-147  005-459  267140                    
 04030  0750010-156  005-466  264130                    
 04000  0755710-160  005-469  263140                    
 03951  0765010-169  005-476  262140                    
 03872  0780010-179  005-484  260140                    
 03795  0795010-192  005-493  260140                    
 03719  0810010-205  005-503  260150                    
 03644  0825010-219  005-513  258140                    
 03570  0840010-233  005-524  256130                    
 03500  0854510-248  005-535  255140                    
 03498  0855010-248  005-535  255140                    
 03426  0870010-260  005-544  255150                    
 03356  0885010-273  005-553  254150                    
 03286  0900010-279  005-558  251140                    
 03218  0915010-285  005-563  249120                    
 03215  0915702-286  005-564  249120                    
 03197  0919802-288  037-388  248120                    
 03152  0930010-285  039-381  245110                    
 03087  0945010-281  042-371  240090                    
 03028  0959102-300  005-570  236080                    
 03023  0960010-277  045-361  236080                    
 03011  0963202-319  005-589  238080                    
 03000  0965510-276  046-358  239090                    
 02960  0975010-273           244100                    
 02899  0990010-269           241100                    
 02840  1005010-265           237100                    
 02798  1015502-267  054-332  236100                    
 02776  1020010-355           235100                    
 02717  1035010-369           233100                    
 02658  1050010-380           231100                    
 02601  1065010-392           228110                    
 02545  1080010-403           226110                    
 02500  1092010-412           224110                    
 02489  1095010-415           224110                    
 02434  1110010-425           222120                    
 02381  1125010-435           221120                    
 02328  1140010-450           220120                    
 02276  1155010-458           219110                    
 02225  1170010-468           221110                    
 02176  1185010-480           226100                    
 02126  1200010-493           236120                    
 02078  1215010-508           248150                    
 02031  1230010-522           243170                    
 02000  1239810-531           236180                    
 01984  1245010-535           233190                    
 01938  1260010-544           236180                    
 01893  1275010-554           245160                    
 01849  1290010-566           248150                    
 01806  1305010-579           248130                    
 01763  1320010-591           252120                    
 01750  1324710-594           256120                    
 01721  1335010-602           262120                    
 01680  1350010-614           273120                    
 01640  1365010-623           284120                    
 01600  1380010-633           294120                    
 01562  1395010-641           298100                    
 01524  1410010-651           301090                    
 01500  1419610-661           300090                    
 01487  1425010-665           299090                    
 01450  1440010-674           298090                    
 01414  1455010-682           302080                    
 01379  1470010-695           306080                    
 01348  1483502-705           297070                    
 01345  1485010-706           296070                    
 01311  1500010-703           277060                    
 01279  1515010-710           264060                    
 01250  1528410-718           265070                    
 01247  1530010-719           265070                    
 01215  1545010-723           266090                    
 01185  1560010-726           265090                    
 01155  1575010-738           265090                    
 01125  1590010-749           262090                    
 01097  1605010-749           260100                    
 01069  1620010-752           258100                    
 01041  1635010-762           255100                    
 01014  1650010-771           253090                    
 01006  1654602-773           252090                    
 01010221654603-773           252090                    
 01000  1658210-773           251090                    
 00988  1665010-774           249090                    
 00963  1680010-776           246080                    
 00938  1695010-764           242080                    
 00914  1710010-753           237080                    
 00890  1725010-750           233080                    
 00868  1740010-740           228070                    
 00846  1755010-741           226070                    
 00824  1770010-750           230080                    
