Y 2301501.1.NEW
RS012301500
TEST NBR 00000 CAPE PROJECT        3228          
RAWINSONDE MSS/MSS
CAPE CANAVERAL AFS, FLORIDA     
1500Z  18 AUG 91

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

    16 270   9.0 .000  30.0  22.1 1015.20  63 18.99 1155.10 368 682 26.57  0
  1000 283  16.3 .013  25.8  20.9  981.56  75 17.93 1133.09 358 677 24.73  6
  2000 292  16.2 .005  22.6  20.3  948.16  87 17.44 1106.34 350 674 23.80 11
  3000 287  20.0 .007  21.0  17.6  915.61  81 14.81 1075.57 328 671 20.10 16
  4000 284  19.8 .002  19.3  16.8  884.01  85 14.19 1044.37 318 669 19.15 20
  5000 282  20.7 .002  17.3  15.5  853.31  89 13.17 1015.35 306 667 17.65 24
  6000 285  21.1 .002  15.9  13.2  823.49  84 11.35  985.61 289 665 15.14 28
  7000 277  19.2 .006  14.3   9.1  794.54  70  8.69  957.51 267 663 11.53 31
  8000 280  16.4 .005  12.6   6.6  766.41  67  7.38  929.83 253 661  9.73 34
  9000 280  13.8 .005  10.9   3.5  739.10  60  5.99  902.90 238 658  7.85 36
 10000 276  12.1 .003   9.4  -1.3  712.59  47  4.27  875.86 222 656  5.57 37
 11000 284  17.0 .009   7.5    .1  686.88  59  4.74  849.69 219 654  6.14 39
 12000 281  17.9 .002   5.7   2.6  661.96  80  5.72  823.61 220 652  7.35 41
 13000 283  14.8 .005   4.0   -.4  637.80  73  4.66  798.98 208 650  5.96 42
 14000 282  15.9 .002   1.9  -8.0  614.33  48  2.65  776.38 190 647  3.37 43
 15000 295  12.7 .007   -.1  -3.6  591.56  77  3.70  752.41 191 645  4.67 44
 16000 281  11.3 .005  -2.0  -8.7  569.49  60  2.54  730.05 179 643  3.17 45
 17000 280  18.1 .011  -3.6  -7.6  548.09  74  2.79  706.62 176 641  3.47 46
 18000 261  15.1 .011  -3.8 -15.2  527.43  41  1.50  681.36 162 640  1.87 47
 19000 265  16.0 .003  -6.6 -14.9  507.43  52  1.56  662.24 158 637  1.92 47
 20000 264  19.2 .005  -8.2 -24.1  488.03  26   .71  641.38 148 635   .87 47
 21000 252  18.3 .007  -9.5 -25.2  469.25  26   .65  619.55 142 633   .79 48
 22000 264  12.5 .011 -11.0 -25.9  451.11  28   .61  599.19 138 631   .74 48
 23000 260   7.9 .008 -13.1 -28.4  433.55  26   .49  580.58 133 629   .59 48
 24000 263  16.0 .014 -14.8 -31.6  416.56  22   .36  561.54 128 627   .43 48
 25000 257  19.6 .007 -16.8 -33.7  400.12  21   .30  543.48 123 624   .35 48
 26000 258  12.2 .012 -18.0 -35.3  384.23  20   .25  524.42 119 623   .30 48
 27000 266  13.1 .003 -20.4 -36.9  368.87  21   .22  508.32 115 620   .25 48
 28000 262  11.7 .003 -23.1 -38.6  353.97  22   .18  492.96 111 617   .21 48
 29000 262  10.6 .002 -25.7 -40.2  339.53  24   .16  477.95 108 613   .18 48
 30000 252  14.2 .007 -27.5 -42.1  325.55  23   .13  461.67 104 611   .15 49
 31000 253  17.0 .005 -29.2 -44.1  312.06  22   .10  445.57 100 609   .12 49
 32000 241  17.2 .006 -32.0 -45.8  299.02  24   .09  431.89  97 605   .10 49
 33000 241  20.7 .006 -34.5 -47.7  286.38  25   .07  418.08  94 602   .08 49
 34000 239  19.8 .002 -37.4 -50.0  274.14  25   .06  405.10  91 599   .06 49
 35000 232  17.9 .005 -40.1 -52.1  262.29  26   .04  391.99  88 595   .05 49
 36000 225  20.6 .006 -42.0 -53.6  250.84  27   .04  378.03  84 593   .04 49
 37000 210  18.8 .009 -44.4 -55.8  239.80  26   .03  365.26  82 590   .03 49
 38000 187  19.5 .013 -47.0 -58.1  229.13  26   .02  352.90  79 586   .02 49
 39000 182  23.8 .008 -49.5 -60.2  218.82  27   .02  340.80  76 583   .02 49
 40000 181  19.6 .007 -52.2 -62.4  208.87  27   .01  329.31  73 579   .01 49
 41000 176  20.7 .004 -54.9 -64.8  199.26  28   .01  318.03  71 576   .01 49
 42000 182  17.5 .006 -57.7 -67.2  189.97  28   .01  307.15  68 572   .01 49
 43000 197  15.4 .008 -60.6  99.9  181.00 999 99.99  296.67  66 568   .00999
 44000 197  12.6 .005 -63.4  99.9  172.33 999 99.99  286.26  64 565   .00999
 45000 201   7.2 .009 -65.1  99.9  164.01 999 99.99  274.63  61 562   .00999
 46000 259   2.2 .011 -66.6  99.9  156.02 999 99.99  263.11  59 560   .00999
 47000 324    .5 .003 -68.7  99.9  148.37 999 99.99  252.86  56 557   .00999
 48000 153   4.7 .009 -70.6  99.9  141.02 999 99.99  242.54  54 555   .00999
 49000  92   7.3 .011 -69.8  99.9  134.00 999 99.99  229.56  51 556   .00999
 50000  36  13.5 .019 -68.0  99.9  127.38 999 99.99  216.27  48 558   .00999
 51000  72  10.9 .013 -68.9  99.9  121.12 999 99.99  206.62  46 557   .00999
 52000  26  10.4 .014 -69.9  99.9  115.12 999 99.99  197.32  44 556   .00999
 53000  39  11.0 .004 -69.0  99.9  109.42 999 99.99  186.70  42 557   .00999
 54000  29  10.0 .003 -69.6  99.9  104.01 999 99.99  178.00  40 556   .00999
 55000  80  11.0 .015 -68.5  99.9   98.88 999 99.99  168.33  37 558   .00999
 56000 143  12.5 .021 -68.5  99.9   94.02 999 99.99  160.07  36 558   .00999
 57000 115   5.6 .013 -69.1  99.9   89.38 999 99.99  152.60  34 557   .00999
 58000  66  11.5 .015 -64.7  99.9   85.01 999 99.99  142.08  32 563   .00999
 59000  83  12.9 .007 -64.0  99.9   80.90 999 99.99  134.76  30 564   .00999
TERMINATION       59451 GEOPFT  18121 GEOPM   78.1 MBS
TROPOPAUSE   48360  FEET   138.45 MB  -70.9 C   99.9 C

MANDATORY LEVELS
GEOPFT DIR KTS  TEMP   DPT PRESS   RH

   457 293  15  27.5  21.7 1000.0  71
  1941 292  16  22.8  20.4  950.0  86
  3485 289  19  20.2  16.5  900.0  79
  5101 283  21  17.1  15.6  850.0  91
  6797 274  18  14.7  10.2  800.0  74
  8581 277  14  11.4   4.6  750.0  63
 10465 273  15   8.6  -1.7  700.0  48
 12466 271  18   4.8   1.4  650.0  78
 14594 289  13    .7  -6.1  600.0  61
 16872 281  18  -3.5  -9.8  550.0  62
 19333 250  20  -7.3 -16.8  500.0  46
 22007 265  12 -11.2 -26.1  450.0  28
 24942 256  20 -16.8 -33.7  400.0  21
 28193 265  12 -23.8 -38.9  350.0  23
 31829 243  17 -31.7 -45.6  300.0  23
 35961 226  21 -42.1 -53.7  250.0  26
 40783 175  20 -54.7 -64.6  200.0  28
 43535 195  13 -62.7  99.9  175.0 999
 46613 328   2 -68.1  99.9  150.0 999
 50181  38  13 -67.3  99.9  125.0 999
 54556  61  12 -68.5  99.9  100.0 999
 58975  91  15 -64.0  99.9   80.0 999
SIGNIFICANT LEVELS
GEOMFT DIR KTS  TEMP   DPT PRESS   IR  RH

    16 270   9  30.0  22.1 1015.2 368  63
   116 278  13  28.5  20.9 1011.8 362  64
  1781 290  16  23.1  20.6  955.4 353  86
  2183 292  18  22.0  19.9  942.1 347  88
  3728 288  20  20.0  14.9  892.5 310  72
  3820 288  20  19.6  16.9  889.6 320  84
  5183 285  21  17.0  15.7  847.8 306  92
  6737 273  18  14.9  11.1  802.1 275  78
  6947 276  19  14.5   9.1  796.1 267  70
  7264 280  18  13.6  10.2  787.0 270  80
  9299 276  15  10.5   -.6  731.1 227  46
 10474 273  15   8.6  -1.7  700.3 218  48
 10808 278  17   8.0  -1.6  691.7 216  50
 11363 285  18   6.7   3.9  677.7 227  83
 13380 281  17   3.1  -3.4  628.8 200  62
 13593 282  17   2.6  -1.5  623.8 202  74
 14260 287  15   1.8 -15.1  608.3 181  27
 14464 294  14   1.1 -11.4  603.7 183  38
 14666 287  13    .6  -4.0  599.1 192  71
 15016 295  13   -.1  -3.5  591.2 192  78
 15447 296  13   -.7  -7.5  581.6 183  60
 15755 292  12  -1.5  -6.3  574.8 184  70
 16172 282  12  -2.1 -11.2  565.8 175  49
 16449 291  15  -2.7  -8.2  559.8 177  66
 16520 294  15  -2.9  -4.9  558.3 182  86
 16785 284  16  -3.4  -8.1  552.6 176  70
 16887 281  17  -3.5 -10.4  550.5 173  59
 17041 280  18  -3.6  -6.6  547.2 177  79
 17157 279  19  -3.7  -5.1  544.8 178  90
 17762 263  16  -4.0  -9.9  532.3 168  63
 17953 260  15  -3.7 -15.8  528.4 161  38
 18405 267  17  -4.9 -13.5  519.3 161  51
 18944 267  15  -6.3 -14.9  508.5 158  50
 19107 259  18  -6.9 -14.7  505.3 158  54
 19209 254  20  -7.1 -15.1  503.3 157  53
 19526 254  19  -7.3 -23.4  497.1 150  26
 21754 258  13 -10.6 -25.4  455.5 139  28
 25850 250  12 -17.6 -35.1  386.6 119  20
 29069 259  10 -26.0 -40.5  338.6 107  24
 34400 248  18 -38.3 -50.9  269.3  89  25
 38761 182  26 -48.7 -59.6  221.3  77  27
 43800 196  13 -63.1  99.9  174.0  64 999
 47187 137   3 -69.3  99.9  147.0  56 999
 48360 148   7 -70.9  99.9  138.4  53 999
 48486 147   7 -70.9  99.9  137.6  53 999
 50232  33  14 -67.3  99.9  125.9  47 999
 51814  39   8 -70.2  99.9  116.2  44 999
 55513 129  12 -67.3  99.9   96.4  36 999
 56250 150  16 -68.7  99.9   92.8  35 999
 56353 151  15 -69.0  99.9   92.4  35 999
 59706 999 999 -63.2  99.9   78.1  29 999
TERMINATION
NNNN

16:06:39
:UDD:DATA_LIB
Su) 
