Data Type/Direction:                       GLASS PROCESSED DATA, FileFormat 1/Ascending                                           
File Format/Version:                       EOL Sounding Format/1.0                                                                
Project Name/Platform:                     SoWMEX/TiMREX/NCAR GLASS                                                               
Launch Site:                               46692                                                                                  
Launch Location (lon,lat,alt):             121 26.04'E 121.434000, 25 00.00'N 25.000000,    11.00                                 
UTC Launch Time (y,m,d,h,m,s):             2008, 05, 21, 12:00:00                                                                 
Sonde Id/Sonde Type:                       970870/Meisei RS2-80                                                                   
Reference Launch Data Source/Time:         /unknown                                                                               
System Operator/Comments:                  /                                                                                      
Post Processing Comments:                  Aspen Version: humidity corrected with CDF day bias table and daytime heating corr:  0.000
/                                                                                                                                 
 Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSA
  sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m
------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- -----
  242.0 12  4  2.00  857.56   17.47   12.91   74.57   -4.04    3.08    5.08  127.29    5.32  1419.52  121.424721   25.003355  -999.00
  247.0 12  4  7.00  854.92   17.37   12.95   75.22   -3.90    3.14    5.01  128.81    5.53  1445.92  121.424522   25.003494  -999.00
  251.0 12  4 11.00  852.64   17.30   12.91   75.38   -3.73    3.19    4.91  130.53    5.70  1468.79  121.424370   25.003611  -999.00
  255.0 12  4 15.00  850.30   17.22   12.83   75.35   -3.51    3.30    4.82  133.16    5.79  1492.26  121.424225   25.003727  -999.00
  260.0 12  4 20.00  847.42   17.11   12.73   75.41   -3.22    3.54    4.78  137.75    5.73  1521.24  121.424057   25.003881  -999.00
  264.0 12  4 24.00  845.17   17.00   12.69   75.71   -2.98    3.80    4.83  141.90    5.58  1544.04  121.423935   25.004013  -999.00
  268.0 12  4 28.00  842.98   16.87   12.73   76.52   -2.77    4.10    4.95  145.92    5.42  1566.15  121.423820   25.004156  -999.00
  273.0 12  4 33.00  840.40   16.64   12.72   77.60   -2.58    4.49    5.18  150.10    5.32  1592.34  121.423691   25.004351  -999.00
  277.0 12  4 37.00  838.33   16.44   12.72   78.63   -2.49    4.76    5.37  152.42    5.41  1613.35  121.423592   25.004517  -999.00
  281.0 12  4 41.00  836.16   16.27   12.75   79.65   -2.45    4.97    5.54  153.70    5.56  1635.44  121.423492   25.004692  -999.00
  286.0 12  4 46.00  833.36   16.09   12.73   80.43   -2.44    5.10    5.65  154.40    5.75  1664.01  121.423370   25.004919  -999.00
  290.0 12  4 50.00  831.09   15.96   12.71   80.99   -2.37    5.09    5.62  155.07    5.88  1687.28  121.423279   25.005104  -999.00
  295.0 12  4 55.00  828.20   15.79   12.71   81.89   -2.09    4.95    5.37  157.07    5.99  1716.90  121.423164   25.005329  -999.00
  299.0 12  4 59.00  825.86   15.63   12.73   82.86   -1.72    4.76    5.07  160.13    6.03  1741.01  121.423088   25.005507  -999.00
  303.0 12  5  3.00  823.50   15.49   12.80   83.99   -1.23    4.57    4.73  164.87    6.04  1765.36  121.423035   25.005674  -999.00
  308.0 12  5  8.00  820.59   15.33   12.96   85.74   -0.50    4.37    4.40  173.45    5.99  1795.47  121.422989   25.005877  -999.00
  312.0 12  5 12.00  818.31   15.19   13.06   87.09    0.13    4.26    4.27  181.80    5.97  1819.15  121.422981   25.006033  -999.00
  316.0 12  5 16.00  816.02   15.04   13.13   88.33    0.76    4.19    4.26  190.32    5.98  1842.91  121.422997   25.006186  -999.00
  321.0 12  5 21.00  813.13   14.82   13.16   89.77    1.48    4.14    4.39  199.62    6.00  1873.00  121.423058   25.006372  -999.00
  325.0 12  5 25.00  810.81   14.65   13.21   91.03    1.96    4.13    4.58  205.42    6.02  1897.29  121.423119   25.006521  -999.00
  329.0 12  5 29.00  808.50   14.49   13.17   91.77    2.37    4.17    4.80  209.65    6.04  1921.44  121.423210   25.006672  -999.00
  334.0 12  5 34.00  805.65   14.28   13.17   92.98    2.79    4.26    5.09  213.18    6.17  1951.38  121.423332   25.006863  -999.00
  338.0 12  5 38.00  803.29   14.09   13.12   93.82    3.15    4.32    5.35  216.15    6.39  1976.27  121.423454   25.007017  -999.00
  342.0 12  5 42.00  800.81   13.89   13.01   94.37    3.68    4.29    5.66  220.62    6.57  2002.44  121.423592   25.007174  -999.00
  347.0 12  5 47.00  797.62   13.62   12.94   95.60    4.66    4.11    6.21  228.60    6.71  2036.20  121.423798   25.007362  -999.00
  351.0 12  5 51.00  795.07   13.41   12.89   96.60    5.51    3.90    6.75  234.72    6.72  2063.26  121.423996   25.007507  -999.00
  356.0 12  5 56.00  791.96   13.18   12.82   97.67    6.37    3.71    7.37  239.79    6.73  2096.41  121.424294   25.007677  -999.00
  360.0 12  6  0.00  789.45   13.00   12.76   98.41    6.75    3.67    7.68  241.46    6.80  2123.12  121.424553   25.007813  -999.00
  364.0 12  6  4.00  786.90   12.84   12.66   98.80    6.88    3.71    7.82  241.64    6.86  2150.48  121.424820   25.007944  -999.00
  369.0 12  6  9.00  783.67   12.66   12.54   99.18    6.77    3.84    7.78  240.43    6.87  2185.13  121.425156   25.008116  -999.00
  373.0 12  6 13.00  781.11   12.52   12.44   99.45    6.54    3.96    7.65  238.79    6.76  2212.66  121.425423   25.008257  -999.00
  377.0 12  6 17.00  778.63   12.38   12.34   99.68    6.28    4.07    7.48  237.05    6.58  2239.48  121.425674   25.008402  -999.00
  382.0 12  6 22.00  775.65   12.22   12.22   99.96    6.03    4.13    7.31  235.63    6.32  2271.75  121.425980   25.008587  -999.00
  386.0 12  6 26.00  773.36   12.11   12.12  100.00    5.95    4.12    7.24  235.26    6.19  2296.61  121.426216   25.008736  -999.00
  390.0 12  6 30.00  771.12   12.01   12.02  100.00    5.93    4.17    7.25  234.87    6.18  2320.92  121.426453   25.008884  -999.00
  395.0 12  6 35.00  768.32   11.89   11.90  100.00    5.96    4.44    7.43  233.31    6.34  2351.58  121.426750   25.009081  -999.00
  399.0 12  6 39.00  765.94   11.78   11.79  100.00    6.00    4.83    7.70  231.16    6.55  2377.64  121.426987   25.009247  -999.00
  404.0 12  6 44.00  762.87   11.62   11.63  100.00    6.08    5.37    8.11  228.51    6.64  2411.29  121.427284   25.009478  -999.00
  408.0 12  6 48.00  760.48   11.48   11.49  100.00    6.17    5.73    8.42  227.10    6.58  2437.66  121.427528   25.009678  -999.00
  412.0 12  6 52.00  758.11   11.34   11.34  100.00    6.27    5.98    8.66  226.38    6.40  2463.83  121.427773   25.009890  -999.00
  417.0 12  6 57.00  755.21   11.19   11.19  100.00    6.36    6.15    8.85  226.00    6.08  2495.99  121.428085   25.010162  -999.00
  421.0 12  7  1.00  753.10   11.07   11.07  100.00    6.37    6.19    8.89  225.82    5.85  2519.40  121.428337   25.010386  -999.00
  425.0 12  7  5.00  751.12   10.97   10.97  100.00    6.33    6.17    8.84  225.72    5.92  2541.44  121.428589   25.010609  -999.00
  430.0 12  7 10.00  748.47   10.83   10.83  100.00    6.25    6.05    8.70  225.92    6.34  2571.06  121.428902   25.010885  -999.00
  434.0 12  7 14.00  746.08   10.72   10.72  100.00    6.20    5.89    8.55  226.47    6.70  2597.81  121.429146   25.011101  -999.00
  438.0 12  7 18.00  743.50   10.59   10.59  100.00    6.16    5.73    8.41  227.09    6.83  2626.79  121.429398   25.011311  -999.00
  443.0 12  7 23.00  740.46   10.43   10.43  100.00    6.09    5.67    8.32  227.08    6.48  2660.94  121.429695   25.011566  -999.00
  447.0 12  7 27.00  738.34   10.31   10.31  100.00    6.01    5.83    8.37  225.86    6.18  2684.94  121.429939   25.011774  -999.00
  452.0 12  7 32.00  735.73   10.16   10.16  100.00    5.90    6.27    8.61  223.30    5.92  2714.46  121.430229   25.012049  -999.00
  456.0 12  7 36.00  733.62   10.04   10.04  100.00    5.88    6.71    8.92  221.21    5.84  2738.41  121.430466   25.012281  -999.00
  460.0 12  7 40.00  731.54    9.92    9.92  100.00    5.95    7.16    9.31  219.69    5.85  2762.09  121.430702   25.012533  -999.00
  465.0 12  7 45.00  728.98    9.76    9.75   99.89    6.15    7.59    9.77  219.01    5.97  2791.36  121.431000   25.012865  -999.00
  469.0 12  7 49.00  726.91    9.61    9.54   99.52    6.39    7.70   10.01  219.69    6.20  2815.09  121.431252   25.013142  -999.00
  473.0 12  7 53.00  724.71    9.44    9.25   98.72    6.66    7.52   10.05  221.54    6.56  2840.29  121.431503   25.013416  -999.00
  478.0 12  7 58.00  721.76    9.18    8.71   96.83    6.98    7.06    9.92  224.68    6.87  2874.26  121.431847   25.013746  -999.00
  482.0 12  8  2.00  719.30    8.89    8.08   94.64    7.14    6.67    9.77  226.92    6.94  2902.60  121.432121   25.013994  -999.00
  486.0 12  8  6.00  716.88    8.60    7.46   92.51    7.17    6.41    9.62  228.21    6.76  2930.56  121.432411   25.014231  -999.00
  491.0 12  8 11.00  714.06    8.28    6.86   90.76    7.11    6.22    9.45  228.80    6.36  2963.19  121.432762   25.014515  -999.00
  495.0 12  8 15.00  711.95    8.09    6.43   89.27    7.05    6.14    9.34  228.95    6.01  2987.77  121.433044   25.014738  -999.00
  499.0 12  8 19.00  709.92    7.94    6.20   88.78    7.03    6.07    9.29  229.21    5.75  3011.31  121.433319   25.014957  -999.00
  504.0 12  8 24.00  707.54    7.81    5.98   88.19    7.09    5.98    9.28  229.85    5.61  3039.12  121.433670   25.015230  -999.00
  508.0 12  8 28.00  705.65    7.73    5.94   88.45    7.20    5.90    9.31  230.68    5.68  3061.15  121.433952   25.015446  -999.00
  513.0 12  8 33.00  703.15    7.65    6.00   89.26    7.40    5.77    9.39  232.06    5.87  3090.53  121.434319   25.015709  -999.00
  517.0 12  8 37.00  701.09    7.62    6.14   90.31    7.55    5.65    9.43  233.18    5.99  3114.71  121.434608   25.015915  -999.00
  521.0 12  8 41.00  699.06    7.60    6.25   91.14    7.63    5.53    9.43  234.07    6.09  3138.68  121.434914   25.016115  -999.00
  526.0 12  8 46.00  696.48    7.56    6.38   92.21    7.61    5.38    9.32  234.73    6.23  3169.19  121.435287   25.016361  -999.00
  530.0 12  8 50.00  694.37    7.49    6.33   92.37    7.52    5.27    9.18  235.00    6.32  3194.32  121.435593   25.016556  -999.00
  534.0 12  8 54.00  692.23    7.36    6.21   92.40    7.41    5.16    9.03  235.14    6.38  3219.84  121.435883   25.016743  -999.00
  539.0 12  8 59.00  689.54    7.16    6.01   92.38    7.28    5.11    8.90  234.93    6.31  3251.94  121.436249   25.016975  -999.00
  543.0 12  9  3.00  687.41    7.02    5.92   92.72    7.24    5.28    8.96  233.91    6.19  3277.40  121.436539   25.017162  -999.00
  547.0 12  9  7.00  685.38    6.90    5.82   92.85    7.28    5.74    9.27  231.74    6.06  3301.77  121.436829   25.017361  -999.00
  552.0 12  9 12.00  682.95    6.75    5.73   93.20    7.43    6.70   10.00  227.97    6.13  3330.99  121.437187   25.017641  -999.00
  556.0 12  9 16.00  680.90    6.63    5.61   93.20    7.57    7.55   10.69  225.08    6.38  3355.77  121.437485   25.017899  -999.00
  561.0 12  9 21.00  678.16    6.46    5.42   93.08    7.70    8.44   11.42  222.40    6.63  3388.97  121.437866   25.018259  -999.00
  565.0 12  9 25.00  675.94    6.34    5.32   93.21    7.72    8.85   11.75  221.11    6.72  3415.98  121.438171   25.018572  -999.00
  569.0 12  9 29.00  673.72    6.25    5.32   93.79    7.65    8.93   11.76  220.60    6.65  3442.92  121.438477   25.018892  -999.00
  574.0 12  9 34.00  671.02    6.20    5.37   94.42    7.42    8.48   11.27  221.19    6.43  3475.96  121.438850   25.019285  -999.00
  578.0 12  9 38.00  668.97    6.16    5.44   95.15    7.18    7.80   10.60  222.62    6.22  3501.12  121.439140   25.019581  -999.00
  582.0 12  9 42.00  667.01    6.10    5.47   95.76    6.99    7.06    9.93  224.70    6.11  3525.27  121.439415   25.019848  -999.00
  587.0 12  9 47.00  664.55    5.97    5.38   95.99    6.96    6.36    9.43  227.60    6.16  3555.55  121.439766   25.020151  -999.00
  591.0 12  9 51.00  662.54    5.84    5.24   95.91    7.14    6.06    9.37  229.70    6.32  3580.45  121.440041   25.020374  -999.00
  595.0 12  9 55.00  660.47    5.70    5.07   95.76    7.49    5.99    9.59  231.33    6.48  3606.11  121.440331   25.020594  -999.00
  600.0 12 10  0.00  657.82    5.52    4.88   95.66    8.12    6.23   10.23  232.51    6.58  3639.12  121.440720   25.020868  -999.00
  604.0 12 10  4.00  655.68    5.38    4.74   95.67    8.66    6.57   10.87  232.81    6.53  3665.78  121.441055   25.021099  -999.00
  609.0 12 10  9.00  653.11    5.19    4.54   95.60    9.17    7.02   11.54  232.56    6.34  3697.98  121.441498   25.021406  -999.00
  613.0 12 10 13.00  651.14    5.03    4.35   95.39    9.30    7.26   11.80  232.01    6.19  3722.74  121.441856   25.021664  -999.00
  617.0 12 10 17.00  649.20    4.88    4.19   95.29    9.23    7.34   11.79  231.52    6.07  3747.15  121.442223   25.021929  -999.00
  622.0 12 10 22.00  646.79    4.69    3.91   94.73    9.00    7.12   11.48  231.64    6.00  3777.48  121.442680   25.022255  -999.00
  626.0 12 10 26.00  644.88    4.54    3.76   94.70    8.79    6.68   11.04  232.75    6.04  3801.65  121.443031   25.022505  -999.00
  630.0 12 10 30.00  642.98    4.41    3.59   94.45    8.58    6.10   10.53  234.59    6.19  3825.72  121.443375   25.022734  -999.00
  635.0 12 10 35.00  640.55    4.26    3.45   94.48    8.36    5.36    9.93  237.33    6.56  3856.71  121.443794   25.022993  -999.00
  639.0 12 10 39.00  638.41    4.13    3.36   94.76    8.23    4.88    9.57  239.32    6.92  3883.95  121.444122   25.023178  -999.00
  643.0 12 10 43.00  636.15    3.99    3.23   94.82    8.13    4.55    9.32  240.73    7.11  3912.82  121.444450   25.023350  -999.00
  648.0 12 10 48.00  633.35    3.82    3.15   95.44    8.03    4.42    9.17  241.18    7.08  3948.84  121.444847   25.023552  -999.00
  652.0 12 10 52.00  631.18    3.68    3.05   95.66    7.99    4.57    9.20  240.24    6.86  3976.71  121.445168   25.023712  -999.00
  657.0 12 10 57.00  628.61    3.49    2.95   96.28    8.02    5.08    9.49  237.62    6.56  4010.00  121.445564   25.023932  -999.00
  661.0 12 11  1.00  626.62    3.34    2.83   96.53    8.16    5.77    9.99  234.72    6.37  4035.69  121.445885   25.024126  -999.00
  665.0 12 11  5.00  624.69    3.18    2.72   96.82    8.40    6.67   10.72  231.56    6.26  4060.83  121.446213   25.024351  -999.00
  670.0 12 11 10.00  622.31    2.99    2.53   96.86    8.75    7.91   11.79  227.89    6.22  4091.85  121.446632   25.024681  -999.00
  674.0 12 11 14.00  620.40    2.84    2.34   96.54    8.98    8.87   12.62  225.38    6.27  4116.79  121.446983   25.024982  -999.00
  678.0 12 11 18.00  618.46    2.68    2.12   96.13    9.11    9.65   13.27  223.34    6.34  4142.13  121.447342   25.025318  -999.00
  683.0 12 11 23.00  616.03    2.44    1.77   95.42    9.01   10.17   13.59  221.54    6.39  4174.08  121.447792   25.025764  -999.00
  687.0 12 11 27.00  614.08    2.24    1.51   94.96    8.66   10.04   13.26  220.80    6.42  4199.69  121.448143   25.026131  -999.00
  691.0 12 11 31.00  612.14    2.05    1.28   94.67    8.10    9.42   12.42  220.67    6.42  4225.37  121.448479   25.026482  -999.00
  696.0 12 11 36.00  609.71    1.85    0.97   93.92    7.27    8.28   11.02  221.26    6.41  4257.52  121.448853   25.026880  -999.00
  700.0 12 11 40.00  607.78    1.70    0.79   93.72    6.66    7.33    9.91  222.27    6.41  4283.19  121.449135   25.027163  -999.00
  705.0 12 11 45.00  605.36    1.51    0.59   93.64    6.15    6.39    8.87  223.91    6.44  4315.29  121.449448   25.027473  -999.00
  709.0 12 11 49.00  603.43    1.37    0.45   93.64    6.02    6.03    8.52  224.97    6.51  4341.09  121.449692   25.027697  -999.00
  713.0 12 11 53.00  601.48    1.24    0.30   93.52    6.23    6.18    8.77  225.21    6.63  4367.19  121.449936   25.027918  -999.00
  718.0 12 11 58.00  598.99    1.10    0.26   94.20    6.86    7.05    9.84  224.23    6.80  4400.68  121.450256   25.028215  -999.00
  722.0 12 12  2.00  596.93    1.00    0.19   94.39    7.52    8.12   11.06  222.82    6.91  4428.47  121.450546   25.028490  -999.00
  726.0 12 12  6.00  594.85    0.92    0.15   94.65    8.17    9.36   12.42  221.14    6.93  4456.52  121.450851   25.028805  -999.00
  731.0 12 12 11.00  592.31    0.85    0.16   95.25    8.82   10.89   14.01  219.00    6.95  4491.01  121.451279   25.029263  -999.00
  735.0 12 12 15.00  590.29    0.82    0.27   96.22    9.09   11.88   14.96  217.43    7.00  4518.52  121.451630   25.029673  -999.00
  740.0 12 12 20.00  587.73    0.79    0.32   96.77    9.00   12.53   15.43  215.68    7.09  4553.49  121.452080   25.030224  -999.00
