Data Type/Direction:                       GLASS PROCESSED DATA, FileFormat 1/Ascending                                           
File Format/Version:                       EOL Sounding Format/1.0                                                                
Project Name/Platform:                     SoWMEX/TiMREX/NCAR GLASS                                                               
Launch Site:                               46692                                                                                  
Launch Location (lon,lat,alt):             121 26.04'E 121.434000, 25 00.00'N 25.000000,    11.00                                 
UTC Launch Time (y,m,d,h,m,s):             2008, 05, 21, 12:00:00                                                                 
Sonde Id/Sonde Type:                       970870/Meisei RS2-80                                                                   
Reference Launch Data Source/Time:         /unknown                                                                               
System Operator/Comments:                  /                                                                                      
Post Processing Comments:                  Aspen Version: humidity corrected with CDF day bias table and daytime heating corr:  0.000
/                                                                                                                                 
 Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSA
  sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m
------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- -----
  792.0 12 13 12.00  563.72   -0.70   -1.18   97.30    7.50   10.97   13.29  214.38    6.66  4888.28  121.455559   25.034740  -999.00
  796.0 12 13 16.00  561.87   -0.89   -1.41   97.24    7.64   11.33   13.67  213.99    6.62  4914.55  121.455856   25.035145  -999.00
  801.0 12 13 21.00  559.57   -1.12   -1.70   97.00    7.70   11.41   13.77  214.02    6.67  4947.40  121.456238   25.035658  -999.00
  805.0 12 13 25.00  557.69   -1.26   -1.85   97.03    7.70   11.19   13.58  214.53    6.75  4974.34  121.456543   25.036064  -999.00
  809.0 12 13 29.00  555.78   -1.38   -2.02   96.78    7.68   10.80   13.25  215.39    6.80  5001.64  121.456848   25.036463  -999.00
  814.0 12 13 34.00  553.41   -1.46   -2.13   96.67    7.68   10.25   12.81  216.84    6.81  5035.76  121.457230   25.036938  -999.00
  818.0 12 13 38.00  551.53   -1.51   -2.19   96.67    7.71    9.82   12.49  218.16    6.75  5062.94  121.457535   25.037300  -999.00
  822.0 12 13 42.00  549.68   -1.53   -2.21   96.69    7.74    9.39   12.17  219.51    6.67  5089.85  121.457840   25.037645  -999.00
  827.0 12 13 47.00  547.41   -1.47   -2.12   96.80    7.70    8.83   11.71  221.09    6.53  5122.83  121.458221   25.038057  -999.00
  831.0 12 13 51.00  545.64   -1.44   -2.06   97.01    7.60    8.40   11.33  222.13    6.43  5148.72  121.458527   25.038368  -999.00
  836.0 12 13 56.00  543.46   -1.56   -2.18   97.09    7.45    8.02   10.95  222.89    6.35  5180.66  121.458900   25.038738  -999.00
  840.0 12 14  0.00  541.74   -1.79   -2.41   97.36    7.36    7.94   10.82  222.85    6.33  5205.85  121.459190   25.039026  -999.00
  844.0 12 14  4.00  540.04   -2.08   -2.71   97.49    7.34    8.05   10.89  222.36    6.34  5230.96  121.459480   25.039316  -999.00
  849.0 12 14  9.00  537.87   -2.40   -3.07   97.53    7.47    8.37   11.22  221.73    6.37  5263.02  121.459846   25.039686  -999.00
  853.0 12 14 13.00  536.13   -2.57   -3.26   97.54    7.74    8.70   11.65  221.67    6.32  5288.81  121.460152   25.039995  -999.00
  857.0 12 14 17.00  534.44   -2.70   -3.41   97.55    8.14    9.04   12.17  221.98    6.26  5313.89  121.460464   25.040316  -999.00
  862.0 12 14 22.00  532.36   -2.85   -3.57   97.56    8.69    9.48   12.86  222.52    6.25  5344.76  121.460884   25.040733  -999.00
  866.0 12 14 26.00  530.69   -2.99   -3.73   97.57    9.09    9.81   13.37  222.81    6.29  5369.68  121.461235   25.041082  -999.00
  871.0 12 14 31.00  528.57   -3.18   -3.94   97.60    9.43   10.13   13.84  222.94    6.41  5401.51  121.461693   25.041533  -999.00
  875.0 12 14 35.00  526.84   -3.35   -4.13   97.62    9.51   10.24   13.98  222.88    6.47  5427.40  121.462067   25.041901  -999.00
  879.0 12 14 39.00  525.12   -3.53   -4.33   97.64    9.39   10.18   13.85  222.68    6.48  5453.29  121.462440   25.042269  -999.00
  884.0 12 14 44.00  522.98   -3.78   -4.60   97.67    9.03    9.91   13.41  222.33    6.42  5485.65  121.462898   25.042723  -999.00
  888.0 12 14 48.00  521.28   -4.01   -4.86   97.70    8.70    9.64   12.99  222.07    6.31  5511.43  121.463249   25.043076  -999.00
  892.0 12 14 52.00  519.63   -4.23   -5.10   97.73    8.44    9.41   12.64  221.91    6.15  5536.48  121.463593   25.043419  -999.00
  897.0 12 14 57.00  517.65   -4.44   -5.33   97.76    8.28    9.26   12.42  221.82    6.05  5566.55  121.464005   25.043840  -999.00
  901.0 12 15  1.00  516.09   -4.57   -5.48   97.77 -999.00 -999.00 -999.00 -999.00    6.08  5590.38 -999.000000 -999.000000  -999.00
  906.0 12 15  6.00  514.10   -4.65   -5.57   97.78 -999.00 -999.00 -999.00 -999.00    6.20  5620.92 -999.000000 -999.000000  -999.00
  910.0 12 15 10.00  512.44   -4.67   -5.59   97.81    8.98   10.02   13.45  221.88    6.27  5646.34  121.465118   25.044971  -999.00
  914.0 12 15 14.00  510.79   -4.70   -5.61   97.85    9.43   10.25   13.92  222.61    6.24  5671.86  121.465485   25.045338  -999.00
  919.0 12 15 19.00  508.78   -4.80   -5.72   97.88   10.00   10.21   14.29  224.42    6.15  5702.86  121.465965   25.045799  -999.00
  923.0 12 15 23.00  507.22   -4.98   -5.93   97.81   10.42    9.95   14.40  226.32    6.09  5727.00  121.466370   25.046164  -999.00
  927.0 12 15 27.00  505.68   -5.25   -6.28   97.52   10.72    9.54   14.35  228.36    6.14  5751.06  121.466789   25.046515  -999.00
  932.0 12 15 32.00  503.68   -5.69   -6.81   97.23   10.91    8.91   14.09  230.75    6.31  5782.11  121.467323   25.046930  -999.00
  936.0 12 15 36.00  502.03   -5.98   -7.16   97.03   10.92    8.43   13.80  232.32    6.46  5807.88  121.467758   25.047243  -999.00
  941.0 12 15 41.00  499.92   -6.11   -7.31   96.97   10.78    7.99   13.42  233.46    6.63  5840.92  121.468292   25.047615  -999.00
  945.0 12 15 45.00  498.22   -6.12   -7.32   97.02   10.58    7.80   13.15  233.61    6.74  5867.57  121.468719   25.047899  -999.00
  949.0 12 15 49.00  496.52   -6.14   -7.35   96.92   10.37    7.70   12.92  233.40    6.88  5894.45  121.469131   25.048180  -999.00
  954.0 12 15 54.00  494.32   -6.26   -7.44   97.28   10.15    7.61   12.68  233.15    7.04  5929.16  121.469643   25.048525  -999.00
  958.0 12 15 58.00  492.52   -6.43   -7.66   97.07   10.03    7.51   12.53  233.19    7.09  5957.75  121.470039   25.048798  -999.00
  962.0 12 16  2.00  490.71   -6.64   -7.91   96.93    9.97    7.39   12.41  233.44    7.03  5986.49  121.470436   25.049067  -999.00
  967.0 12 16  7.00  488.54   -6.90   -8.32   96.06 -999.00 -999.00 -999.00 -999.00    6.80  6021.22 -999.000000 -999.000000  -999.00
  971.0 12 16 11.00  486.89   -7.08   -8.57   95.68    9.96    7.10   12.23  234.52    6.64  6047.57  121.471329   25.049656  -999.00
  976.0 12 16 16.00  484.86   -7.28   -8.97   94.38   10.05    6.96   12.22  235.30    6.53  6080.22  121.471825   25.049973  -999.00
  980.0 12 16 20.00  483.23   -7.45   -9.24   93.75   10.18    6.89   12.29  235.94    6.49  6106.48  121.472221   25.050222  -999.00
  984.0 12 16 24.00  481.62   -7.65   -9.67   92.24   10.31    6.83   12.36  236.48    6.50  6132.54  121.472626   25.050470  -999.00
  989.0 12 16 29.00  479.61   -7.97  -10.26   90.57   10.25    6.70   12.25  236.84    6.59  6165.06  121.473137   25.050776  -999.00
  993.0 12 16 33.00  477.99   -8.28  -10.86   88.71    9.90    6.49   11.84  236.74    6.71  6191.43  121.473534   25.051014  -999.00
  997.0 12 16 37.00  476.32   -8.61  -11.48   86.93    9.32    6.20   11.19  236.34    6.88  6218.52  121.473915   25.051243  -999.00
 1002.0 12 16 42.00  474.18   -8.98  -12.35   83.77    8.47    5.79   10.26  235.66    6.99  6253.47  121.474358   25.051514  -999.00
 1006.0 12 16 46.00  472.45   -9.17  -12.95   81.13    7.86    5.45    9.56  235.25    6.98  6281.76  121.474686   25.051716  -999.00
 1010.0 12 16 50.00  470.75   -9.28  -12.95   81.96    7.37    5.13    8.97  235.16    6.85  6309.71  121.474983   25.051907  -999.00
 1015.0 12 16 55.00  468.70   -9.35  -12.32   86.73    6.92    4.72    8.38  235.71    6.64  6343.36  121.475342   25.052130  -999.00
 1019.0 12 16 59.00  467.13   -9.38  -12.21   87.80    6.71    4.38    8.01  236.84    6.51  6369.39  121.475609   25.052294  -999.00
 1024.0 12 17  4.00  465.19   -9.43  -12.04   89.37    6.59    3.94    7.68  239.13    6.48  6401.50  121.475937   25.052483  -999.00
 1028.0 12 17  8.00  463.63   -9.50  -12.06   89.79    6.60    3.57    7.50  241.58    6.56  6427.53  121.476196   25.052616  -999.00
 1032.0 12 17 12.00  462.04   -9.59  -12.01   90.83 -999.00 -999.00 -999.00 -999.00    6.66  6454.06 -999.000000 -999.000000  -999.00
 1037.0 12 17 17.00  460.04   -9.74  -12.13   91.22 -999.00 -999.00 -999.00 -999.00    6.79  6487.64 -999.000000 -999.000000  -999.00
 1041.0 12 17 21.00  458.41   -9.90  -12.37   90.73    6.80    2.29    7.17  251.39    6.84  6515.07  121.477058   25.052961  -999.00
 1045.0 12 17 25.00  456.75  -10.13  -12.72   90.02    6.77    1.91    7.03  254.23    6.83  6543.02  121.477333   25.053038  -999.00
 1050.0 12 17 30.00  454.74  -10.47  -13.30   88.52    6.68    1.54    6.85  257.01    6.74  6576.93  121.477661   25.053116  -999.00
 1054.0 12 17 34.00  453.20  -10.74  -13.75   87.44    6.61    1.40    6.76  258.06    6.78  6603.07  121.477928   25.053167  -999.00
 1059.0 12 17 39.00  451.20  -11.00  -14.16   86.53    6.58    1.43    6.73  257.73    6.96  6637.08  121.478256   25.053232  -999.00
 1063.0 12 17 43.00  449.53  -11.18  -14.34   86.66    6.52    1.46    6.68  257.35    7.11  6665.62  121.478516   25.053284  -999.00
 1067.0 12 17 47.00  447.84  -11.35  -14.58   86.28    6.36    1.34    6.50  258.14    7.16  6694.57  121.478767   25.053335  -999.00
 1072.0 12 17 52.00  445.75  -11.61  -14.97   85.57    6.02    0.82    6.07  262.26    6.98  6730.42  121.479073   25.053383  -999.00
 1076.0 12 17 56.00  444.14  -11.85  -15.26   85.34 -999.00 -999.00 -999.00 -999.00    6.75  6758.14 -999.000000 -999.000000  -999.00
 1080.0 12 18  0.00  442.62  -12.09  -15.64   84.50    5.71   -0.57    5.73  275.69    6.52  6784.39  121.479538   25.053392  -999.00
 1085.0 12 18  5.00  440.79  -12.34  -15.92   84.47    6.01   -1.47    6.18  283.75    6.50  6816.06  121.479828   25.053347  -999.00
 1089.0 12 18  9.00  439.28  -12.43  -16.01   84.55    6.54   -1.88    6.80  286.00    6.68  6842.33  121.480080   25.053286  -999.00
 1094.0 12 18 14.00  437.31  -12.44  -15.87   85.59    7.54   -1.60    7.70  281.99    7.05  6876.67  121.480431   25.053207  -999.00
 1098.0 12 18 18.00  435.68  -12.43  -15.68   86.86    8.52   -0.69    8.55  274.65    7.35  6905.18  121.480743   25.053165  -999.00
 1102.0 12 18 22.00  433.97  -12.46  -15.62   87.55    9.58    0.63    9.60  266.22    7.55  6935.22  121.481110   25.053165  -999.00
 1107.0 12 18 27.00  431.77  -12.57  -15.56   88.90   10.83    2.58   11.14  256.59    7.43  6974.00  121.481613   25.053238  -999.00
 1111.0 12 18 31.00  430.12  -12.69  -15.60   89.55 -999.00 -999.00 -999.00 -999.00    7.07  7003.38 -999.000000 -999.000000  -999.00
 1115.0 12 18 35.00  428.58  -12.81  -15.66   90.06   12.53    5.76   13.79  245.33    6.68  7030.61  121.482536   25.053539  -999.00
 1120.0 12 18 40.00  426.80  -12.98  -15.70   91.20   13.41    7.47   15.35  240.87    6.38  7062.50  121.483177   25.053837  -999.00
 1124.0 12 18 44.00  425.40  -13.12  -15.84   91.31   14.01    8.59   16.43  238.48    6.46  7087.57  121.483727   25.054127  -999.00
 1129.0 12 18 49.00  423.57  -13.32  -15.96   92.08 -999.00 -999.00 -999.00 -999.00    6.88  7120.27 -999.000000 -999.000000  -999.00
 1133.0 12 18 53.00  421.99  -13.49  -16.08   92.55   15.09   10.15   18.19  236.08    7.39  7148.89  121.485023   25.054890  -999.00
 1137.0 12 18 57.00  420.28  -13.67  -16.21   93.08   15.48   10.41   18.66  236.08    7.81  7179.66  121.485626   25.055260  -999.00
 1142.0 12 19  2.00  418.08  -13.87  -16.37   93.53 -999.00 -999.00 -999.00 -999.00    8.06  7219.61 -999.000000 -999.000000  -999.00
 1146.0 12 19  6.00  416.31  -14.03  -16.51   93.84 -999.00 -999.00 -999.00 -999.00    7.90  7251.94 -999.000000 -999.000000  -999.00
 1150.0 12 19 10.00  414.57  -14.23  -16.75   93.70 -999.00 -999.00 -999.00 -999.00    7.40  7283.63 -999.000000 -999.000000  -999.00
 1155.0 12 19 15.00  412.65  -14.54  -17.24   92.50 -999.00 -999.00 -999.00 -999.00    6.35  7318.91 -999.000000 -999.000000  -999.00
 1159.0 12 19 19.00  411.38  -14.83  -17.76   90.95   16.45    8.95   18.72  241.46    5.60  7342.27  121.489105   25.057182  -999.00
 1164.0 12 19 24.00  410.04  -15.16  -18.56   87.66   16.10    8.40   18.16  242.44    5.07  7367.01  121.489914   25.057573  -999.00
 1168.0 12 19 28.00  408.98  -15.35  -19.09   85.26   15.78    7.97   17.68  243.19    5.24  7386.50  121.490547   25.057869  -999.00
 1172.0 12 19 32.00  407.78  -15.45  -19.41   83.68   15.53    7.57   17.28  244.00    5.65  7408.79  121.491165   25.058149  -999.00
 1177.0 12 19 37.00  406.13  -15.53  -19.81   81.52   15.36    7.14   16.94  245.08    6.18  7439.37  121.491936   25.058481  -999.00
 1181.0 12 19 41.00  404.76  -15.66  -20.44   78.11   15.39    6.88   16.85  245.92    6.57  7464.82  121.492538   25.058735  -999.00
 1186.0 12 19 46.00  402.96  -15.93 -999.00 -999.00   15.63    6.69   17.00  246.82    6.99  7498.43  121.493309   25.059040  -999.00
 1190.0 12 19 50.00  401.44  -16.20 -999.00 -999.00   15.89    6.65   17.22  247.28    7.32  7526.95  121.493935   25.059282  -999.00
 1194.0 12 19 54.00  399.85  -16.46  -24.13   60.84   16.11    6.70   17.45  247.40    7.58  7556.75  121.494568   25.059523  -999.00
 1199.0 12 19 59.00  397.81  -16.75  -25.14   57.10   16.25    6.86   17.64  247.12    7.69  7595.24  121.495369   25.059830  -999.00
 1203.0 12 20  3.00  396.17  -16.98  -26.01   53.92   16.29    6.97   17.72  246.82    7.56  7626.30  121.496017   25.060080  -999.00
 1207.0 12 20  7.00  394.57  -17.22  -26.93   50.72   16.31    7.01   17.75  246.73    7.26  7656.50  121.496658   25.060331  -999.00
 1212.0 12 20 12.00  392.71  -17.53  -27.98   47.42   16.34    6.87   17.72  247.19    6.92  7691.90  121.497467   25.060644  -999.00
 1216.0 12 20 16.00  391.34  -17.76  -28.71   45.27   16.36    6.56   17.63  248.15    6.82  7718.18  121.498116   25.060888  -999.00
 1221.0 12 20 21.00  389.59  -18.02  -29.44   43.36 -999.00 -999.00 -999.00 -999.00    7.14  7751.62 -999.000000 -999.000000  -999.00
 1225.0 12 20 25.00  388.04  -18.24  -29.73   43.07 -999.00 -999.00 -999.00 -999.00    7.46  7781.41 -999.000000 -999.000000  -999.00
 1229.0 12 20 29.00  386.42  -18.45  -29.90   43.23   16.41    4.54   17.02  254.54    7.65  7812.54  121.500229   25.061539  -999.00
 1234.0 12 20 34.00  384.44  -18.70  -29.77   44.83   16.43    3.99   16.91  256.36    7.50  7850.97  121.501045   25.061731  -999.00
 1238.0 12 20 38.00  382.91  -18.88  -29.57   46.46   16.47    3.81   16.90  256.97    7.07  7880.60  121.501694   25.061872  -999.00
 1242.0 12 20 42.00  381.49  -19.05  -29.40   47.99   16.50    3.75   16.92  257.19    6.56  7908.25  121.502350   25.062010  -999.00
 1247.0 12 20 47.00  379.93  -19.26  -29.29   49.49 -999.00 -999.00 -999.00 -999.00    6.03  7938.71 -999.000000 -999.000000  -999.00
 1251.0 12 20 51.00  378.76  -19.42  -29.02   51.52 -999.00 -999.00 -999.00 -999.00    5.93  7961.66 -999.000000 -999.000000  -999.00
 1256.0 12 20 56.00  377.24  -19.58  -28.62   54.33 -999.00 -999.00 -999.00 -999.00    6.10  7991.63 -999.000000 -999.000000  -999.00
 1260.0 12 21  0.00  375.95  -19.65  -28.18   56.95 -999.00 -999.00 -999.00 -999.00    6.39  8016.89 -999.000000 -999.000000  -999.00
 1264.0 12 21  4.00  374.63  -19.71  -27.77   59.53 -999.00 -999.00 -999.00 -999.00    6.68  8043.16 -999.000000 -999.000000  -999.00
 1269.0 12 21  9.00  372.91  -19.82  -27.61   61.05 -999.00 -999.00 -999.00 -999.00    6.96  8077.15 -999.000000 -999.000000  -999.00
 1273.0 12 21 13.00  371.50  -19.94  -27.54   62.14 -999.00 -999.00 -999.00 -999.00    7.07  8105.30 -999.000000 -999.000000  -999.00
 1277.0 12 21 17.00  370.06  -20.07  -27.27   64.50 -999.00 -999.00 -999.00 -999.00    7.01  8134.18 -999.000000 -999.000000  -999.00
 1282.0 12 21 22.00  368.32  -20.22  -26.33   71.35 -999.00 -999.00 -999.00 -999.00    6.68  8169.08 -999.000000 -999.000000  -999.00
 1286.0 12 21 26.00  367.04  -20.29  -25.58   76.90   18.15    4.14   18.61  257.16    6.42  8194.92  121.509903   25.063576  -999.00
 1291.0 12 21 31.00  365.52  -20.33  -25.02   81.16   18.68    4.67   19.26  255.97    6.28  8225.61  121.510818   25.063774  -999.00
 1295.0 12 21 35.00  364.30  -20.33  -24.58   84.43   18.97    5.00   19.61  255.24    6.42  8250.40  121.511559   25.063948  -999.00
 1299.0 12 21 39.00  363.00  -20.35  -24.24   87.22   19.01    5.14   19.70  254.86    6.63  8276.80  121.512314   25.064131  -999.00
 1304.0 12 21 44.00  361.32  -20.44  -24.07   89.33 -999.00 -999.00 -999.00 -999.00    6.73  8311.12 -999.000000 -999.000000  -999.00
 1308.0 12 21 48.00  360.00  -20.56  -24.05   90.54 -999.00 -999.00 -999.00 -999.00    6.67  8338.34 -999.000000 -999.000000  -999.00
 1312.0 12 21 52.00  358.72  -20.70  -24.13   91.15   17.89    4.91   18.55  254.66    6.53  8364.63  121.514694   25.064720  -999.00
 1317.0 12 21 57.00  357.18  -20.88  -24.28   91.51   17.22    4.77   17.87  254.53    6.48  8396.43  121.515564   25.064939  -999.00
 1321.0 12 22  1.00  355.94  -21.04  -24.42   91.75 -999.00 -999.00 -999.00 -999.00    6.56  8422.23 -999.000000 -999.000000  -999.00
 1326.0 12 22  6.00  354.34  -21.25  -24.63   91.96   16.25    4.61   16.90  254.15    6.72  8455.49  121.517059   25.065319  -999.00
 1330.0 12 22 10.00  353.03  -21.42  -24.81   91.97   15.90    4.60   16.55  253.86    6.81  8482.74  121.517693   25.065487  -999.00
 1334.0 12 22 14.00  351.72  -21.60  -24.98   92.15   15.51    4.62   16.18  253.42    6.81  8510.20  121.518318   25.065653  -999.00
 1339.0 12 22 19.00  350.10  -21.84  -25.24   92.18   14.96    4.65   15.67  252.74    6.65  8544.18  121.519073   25.065863  -999.00
 1343.0 12 22 23.00  348.85  -22.06  -25.49   92.10   14.66    4.61   15.37  252.56    6.44  8570.49  121.519661   25.066031  -999.00
 1348.0 12 22 28.00  347.36  -22.33  -25.81   91.89   14.70    4.37   15.33  253.44    6.20  8601.95  121.520386   25.066233  -999.00
 1352.0 12 22 32.00  346.22  -22.54  -26.07   91.54 -999.00 -999.00 -999.00 -999.00    6.12  8626.15 -999.000000 -999.000000  -999.00
 1356.0 12 22 36.00  345.08  -22.74  -26.31   91.34   15.58    3.67   16.01  256.76    6.18  8650.40  121.521584   25.066523  -999.00
 1361.0 12 22 41.00  343.60  -23.00  -26.64   90.96   16.11    3.31   16.45  258.39    6.34  8681.88  121.522369   25.066681  -999.00
 1365.0 12 22 45.00  342.38  -23.19  -26.86   90.81   16.38    3.18   16.68  259.01    6.51  8707.85  121.523018   25.066797  -999.00
 1369.0 12 22 49.00  341.15  -23.38  -27.08   90.74   16.59    3.21   16.90  259.03    6.67  8734.28  121.523666   25.066914  -999.00
 1374.0 12 22 54.00  339.59  -23.61  -27.33   90.69   16.90    3.52   17.26  258.24    6.90  8767.73  121.524498   25.067064  -999.00
 1378.0 12 22 58.00  338.31  -23.79  -27.54   90.54   17.28    3.90   17.71  257.27    7.11  8795.42  121.525177   25.067198  -999.00
 1383.0 12 23  3.00  336.63  -24.05  -27.87   90.14   18.03    4.38   18.55  256.33    7.19  8831.84  121.526047   25.067385  -999.00
 1387.0 12 23  7.00  335.28  -24.27  -28.14   89.89 -999.00 -999.00 -999.00 -999.00    7.02  8861.10 -999.000000 -999.000000  -999.00
 1391.0 12 23 11.00  333.99  -24.50  -28.43   89.54   19.99    4.71   20.54  256.74    6.75  8889.09  121.527557   25.067715  -999.00
 1396.0 12 23 16.00  332.54  -24.75  -28.72   89.31   21.40    4.61   21.89  257.85    6.43  8920.87  121.528580   25.067924  -999.00
 1400.0 12 23 20.00  331.42  -24.92  -28.91   89.26   22.42    4.39   22.85  258.93    6.43  8945.43  121.529449   25.068087  -999.00
 1404.0 12 23 24.00  330.21  -25.10  -29.11   89.23   23.22    4.07   23.57  260.06    6.47  8971.89  121.530357   25.068239  -999.00
 1409.0 12 23 29.00  328.70  -25.33  -29.36   89.18   23.72    3.58   23.99  261.41    6.34  9005.29  121.531517   25.068413  -999.00
 1413.0 12 23 33.00  327.58  -25.55  -29.61   89.07   23.62    3.16   23.83  262.38    6.23  9030.15  121.532455   25.068535  -999.00
 1418.0 12 23 38.00  326.23  -25.88  -30.02   88.63 -999.00 -999.00 -999.00 -999.00    6.16  9060.09 -999.000000 -999.000000  -999.00
 1422.0 12 23 42.00  325.13  -26.18  -30.41   88.02 -999.00 -999.00 -999.00 -999.00    6.26  9084.48 -999.000000 -999.000000  -999.00
 1426.0 12 23 46.00  323.97  -26.50  -30.86   87.10   21.21    1.89   21.29  264.90    6.39  9110.27  121.535347   25.068830  -999.00
 1431.0 12 23 51.00  322.50  -26.88  -31.50   85.25   20.15    1.62   20.22  265.40    6.33  9143.06  121.536369   25.068909  -999.00
 1435.0 12 23 55.00  321.38  -27.17  -32.11   82.78 -999.00 -999.00 -999.00 -999.00    6.23  9168.16 -999.000000 -999.000000  -999.00
 1440.0 12 24  0.00  320.03  -27.59  -33.31   76.95   19.71    1.87   19.80  264.58    6.12  9198.42  121.538147   25.069052  -999.00
 1444.0 12 24  4.00  318.97  -27.99  -34.71   69.87   20.33    2.36   20.47  263.37    6.17  9222.43  121.538940   25.069128  -999.00
 1448.0 12 24  8.00  317.88  -28.42 -999.00 -999.00   21.43    3.10   21.65  261.76    6.28  9246.98  121.539772   25.069225  -999.00
 1453.0 12 24 13.00  316.47  -28.88  -37.92   55.57 -999.00 -999.00 -999.00 -999.00    6.22  9278.82 -999.000000 -999.000000  -999.00
 1457.0 12 24 17.00  315.32  -29.10 -999.00 -999.00   25.07    5.37   25.64  257.91    5.93  9304.63  121.541847   25.069571  -999.00
 1461.0 12 24 21.00  314.29  -29.16 -999.00 -999.00   26.66    6.31   27.39  256.69    5.37  9328.05  121.542870   25.069780  -999.00
 1466.0 12 24 26.00  313.24  -29.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00    4.91  9352.13 -999.000000 -999.000000  -999.00
 1470.0 12 24 30.00  312.43  -29.07  -38.40   53.96 -999.00 -999.00 -999.00 -999.00    4.88  9370.52 -999.000000 -999.000000  -999.00
 1475.0 12 24 35.00  311.34  -29.20  -38.57   53.75 -999.00 -999.00 -999.00 -999.00    5.25  9395.50 -999.000000 -999.000000  -999.00
 1479.0 12 24 39.00  310.37  -29.28  -38.48   54.69 -999.00 -999.00 -999.00 -999.00    5.68  9417.68 -999.000000 -999.000000  -999.00
 1483.0 12 24 43.00  309.34  -29.31  -38.27   56.03 -999.00 -999.00 -999.00 -999.00    6.04  9441.55 -999.000000 -999.000000  -999.00
 1488.0 12 24 48.00  307.99  -29.33  -37.66   59.78 -999.00 -999.00 -999.00 -999.00    6.24  9472.85 -999.000000 -999.000000  -999.00
 1492.0 12 24 52.00  306.90  -29.40  -37.29   62.53 -999.00 -999.00 -999.00 -999.00    6.20  9498.10 -999.000000 -999.000000  -999.00
 1496.0 12 24 56.00  305.84  -29.57  -37.62   61.50 -999.00 -999.00 -999.00 -999.00    6.10  9522.81 -999.000000 -999.000000  -999.00
 1501.0 12 25  1.00  304.57  -29.91  -38.94   55.73 -999.00 -999.00 -999.00 -999.00    6.02  9552.48 -999.000000 -999.000000  -999.00
 1505.0 12 25  5.00  303.56  -30.26  -39.67   53.60 -999.00 -999.00 -999.00 -999.00    6.16  9576.11 -999.000000 -999.000000  -999.00
 1510.0 12 25 10.00  302.22  -30.73  -41.11   48.47 -999.00 -999.00 -999.00 -999.00    6.47  9607.43 -999.000000 -999.000000  -999.00
 1514.0 12 25 14.00  301.08  -31.10  -42.88   41.79   26.84    6.90   27.71  255.58    6.72  9634.23  121.556915   25.072941  -999.00
 1518.0 12 25 18.00  299.90  -31.45  -44.90   34.85   25.71    6.40   26.50  256.01    6.80  9662.07  121.557961   25.073181  -999.00
 1523.0 12 25 23.00  298.45  -31.82  -47.62   26.84 -999.00 -999.00 -999.00 -999.00    6.69  9696.28 -999.000000 -999.000000  -999.00
 1527.0 12 25 27.00  297.35  -32.07  -48.99   23.62 -999.00 -999.00 -999.00 -999.00    6.60  9722.46 -999.000000 -999.000000  -999.00
 1532.0 12 25 32.00  296.01  -32.35  -50.33   20.85 -999.00 -999.00 -999.00 -999.00    6.66  9754.40 -999.000000 -999.000000  -999.00
 1536.0 12 25 36.00  294.89  -32.57  -50.58   20.74 -999.00 -999.00 -999.00 -999.00    6.92  9781.06 -999.000000 -999.000000  -999.00
 1540.0 12 25 40.00  293.69  -32.78  -50.80   20.70   18.70    1.37   18.75  265.81    7.06  9809.68  121.562805   25.073954  -999.00
 1545.0 12 25 45.00  292.18  -33.06  -51.04   20.73   17.41    0.03   17.41  269.89    6.92  9845.90  121.563698   25.073984  -999.00
 1549.0 12 25 49.00  291.04  -33.30  -51.22   20.84   16.57   -1.07   16.60  273.68    6.55  9873.36  121.564369   25.073965  -999.00
 1553.0 12 25 53.00  290.01  -33.52  -51.36   21.00 -999.00 -999.00 -999.00 -999.00    6.09  9898.36 -999.000000 -999.000000  -999.00
 1558.0 12 25 58.00  288.82  -33.77  -51.47   21.30 -999.00 -999.00 -999.00 -999.00    5.80  9927.10 -999.000000 -999.000000  -999.00
 1562.0 12 26  2.00  287.89  -33.95  -50.68   23.81 -999.00 -999.00 -999.00 -999.00    5.82  9949.81 -999.000000 -999.000000  -999.00
 1567.0 12 26  7.00  286.67  -34.17  -50.67   24.39 -999.00 -999.00 -999.00 -999.00    6.15  9979.51 -999.000000 -999.000000  -999.00
 1571.0 12 26 11.00  285.63  -34.35  -50.04   26.75 -999.00 -999.00 -999.00 -999.00    6.48 10004.99 -999.000000 -999.000000  -999.00
 1575.0 12 26 15.00  284.53  -34.52  -49.41   29.30   14.19   -6.52   15.61  294.68    6.80 10031.89  121.568336   25.073076  -999.00
 1580.0 12 26 20.00  283.11  -34.68  -48.13   34.46   13.77   -6.61   15.28  295.62    7.05 10066.83  121.569023   25.072781  -999.00
 1584.0 12 26 24.00  281.96  -34.75  -46.90   39.87   13.59   -6.38   15.01  295.15    7.13 10095.10  121.569572   25.072544  -999.00
 1589.0 12 26 29.00  280.52  -34.81  -45.58   46.43   13.84   -5.70   14.97  292.37    7.11 10130.87  121.570251   25.072273  -999.00
